year, Population ,Births,Deaths,Migration
1950,2218000,85455,21917,-46538
1951,2235000,84007,22371,-69636
1952,2227000,80200,20504,-82696
1953,2204000,77380,17976,-49404
1954,2214000,79008,16871,-26137
1955,2250000,79221,16243,-63978
1956,2249000,78177,16607,-50570
1957,2260000,76068,16022,-21046
1958,2299000,76128,16099,-37029
1959,2322000,74933,15870,-21063
1960,2360000,76015,15841,-18174
1961,2402000,75563,16361,-14202
1962,2447000,76677,16575,-16102
1963,2491000,77382,17386,-8996
1964,2542000,78837,18556,-19281
1965,2583000,79586,17719,-32867
1966,2612000,75735,17506,-36229
1967,2634000,70755,16780,-22975
1968,2665000,67989,17481,-9508
1969,2706000,67577,17669,-39908
1970,2716000,67438,18080,13942
1971,2779300,71117,18144,32827
1972,2865100,68914,19011,-42703
1973,2872300,68821,19257,-31864
1974,2890000,70082,19490,-1792
1975,2938800,69691,19073,28882
1976,3018300,72883,19893,2810
1977,3074100,75151,19865,-7786
1978,3121600,75066,19876,-16090
1979,3160700,73781,20390,-10135
1980,3203956,73060,20486,-4683
1981,3251847,71365,21197,-11580
1982,3290435,69336,21522,-16401
1983,3321848,65742,21499,-17337
1984,3348754,63321,21733,-12216
1985,3378126,63629,23194,-12332
1986,3406229,63551,23387,-13048
1987,3433345,64393,23954,-12399
1988,3461385,64081,25123,-3056
1989,3497287,66692,25987,-10399
1990,3527593,66555,26148,-17434
1991,3550566,64516,26328,-13982
1992,3574772,64481,27397,-11604
1993,3600252,65242,28494,-9952
1994,3627048,64325,28444,-7735
1995,3655194,63518,30196,-3777
1996,3684739,63259,29871,-2401
1997,3715726,64214,29119,-2671
1998,3748150,60518,29990,3465
1999,3782143,59684,29145,-2077
2000,3810605,59460,28847,-22444
2001,3818774,55983,29438,-21618
2002,3823701,52871,28416,-22061
2003,3826095,50803,28843,-21177
2004,3826878,51239,29601,-27154
2005,3821362,50687,29979,-36856
2006,3805214,48744,28637,-42326
2007,3782995,46748,29322,-39555
2008,3760866,45689,29100,-37045
2009,3740410,44830,29189,-34526
2010,3721525,42203,29357,-55639
2011,3678732,41133,30002,-55375
2012,3634488,38974,29873,-50512
2013,3593077,36580,29366,-65417
2014,3534874,34495,30331,-65806
2015,3473232,31236,28427,-69369
2016,3406672,28326,29678,-80034
2017,3325286,24395,31148,-125179
2018,3193354,21486,29288,8142
2019,3193694,20436,29652,97060
2020,3281538,18986,32261,-4679
