Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,,,74.8,69.7,68.9,70.3,65.6,66.7,63.5,55.8,41.1,32.7,32.7,37.3,29.3,27.4,24.9,23.2,21.2,27.4,27.1,26.8,29.6,33.3,35.1
Agosto,,,72.3,69.5,69.6,69.7,65.4,66.2,63.2,55.0,39.6,32.2,32.9,37.0,29.4,27.3,24.3,23.1,21.3,27.7,27.6,27.0,29.7,33.4,35.5
Septiembre,,,73.5,69.7,69.8,69.7,65.7,65.7,63.2,53.9,38.5,31.9,33.2,36.6,29.1,27.3,24.3,23.0,21.0,27.6,27.2,27.5,30.3,33.9,35.7
Octubre,,,72.5,69.4,70.1,70.0,64.6,65.2,62.6,52.7,37.5,32.0,34.1,35.6,28.7,27.5,24.6,23.2,20.6,27.4,27.4,27.8,31.3,34.0,36.4
Noviembre,,,71.8,68.3,69.7,69.0,65.2,65.2,62.0,51.7,36.5,32.1,34.5,35.1,28.1,27.7,24.6,23.2,23.1,27.4,27.4,27.8,31.6,34.2,36.4
Diciembre,,,72.7,67.1,67.2,67.1,62.4,61.1,56.9,50.3,36.4,32.0,33.5,34.3,28.3,26.8,24.2,21.9,23.4,26.1,27.4,28.4,31.4,34.9,36.1
Enero,,74.5,73.0,67.0,69.7,67.5,67.3,65.3,58.2,48.5,35.4,31.9,35.5,33.8,28.0,26.9,23.7,22.3,24.3,27.3,28.2,28.5,32.2,34.4,36.1
Febrero,,74.2,72.5,67.4,69.6,67.6,67.2,65.0,57.8,46.9,35.2,32.0,35.8,33.0,27.8,26.8,23.5,22.0,24.4,27.3,28.4,28.7,32.4,34.6,36.2
Marzo,,74.5,71.0,68.0,69.5,67.5,67.3,64.5,57.6,45.9,34.5,31.8,36.0,32.3,28.0,26.7,23.6,21.5,25.2,27.4,28.0,29.0,32.8,34.9,36.1
Abril,,74.8,70.7,67.8,69.2,67.5,67.0,64.5,57.7,44.0,33.9,32.1,37.2,30.2,27.7,25.9,23.5,21.3,26.3,27.3,20.9,29.0,32.6,35.2,36.3
Mayo,,74.7,70.7,68.4,69.0,66.7,67.1,64.4,57.3,42.5,33.8,31.8,37.6,29.7,27.7,25.8,23.3,21.1,26.8,27.3,23.2,28.9,32.9,35.3,36.7
Junio,,75.8,70.0,68.8,69.6,66.1,67.0,63.3,56.7,41.7,33.4,31.7,37.8,29.4,27.7,25.4,23.2,21.0,27.3,27.2,25.3,29.1,33.1,35.3,37.3
