Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,145.6,143.1,130.3,120.2,117.1,118.1,114.6,109.4,107.3,101.2,90.7,86.4,84.3,81.9,75.9,75.0,74.4,73.9,71.7,71.9,75.4,74.1,77.6,82.3,83.5
Agosto,144.4,142.4,127.9,120.6,117.6,118.5,113.4,109.1,106.6,100.4,90.1,86.2,83.9,81.4,75.1,74.9,74.3,73.8,71.6,72.3,75.5,74.4,77.6,82.5,83.8
Septiembre,143.4,142.1,127.3,120.1,117.9,118.2,113.6,108.4,106.3,100.1,89.6,86.2,83.6,80.6,75.1,75.1,74.4,73.6,71.2,72.5,75.3,75.2,78.9,82.3,84.1
Octubre,141.7,142.9,126.4,118.9,119.1,117.9,114.1,108.1,105.1,99.1,89.2,86.6,82.9,80.0,76.0,75.5,73.8,73.5,68.4,72.8,75.6,74.8,79.3,82.3,84.2
Noviembre,141.7,142.1,124.8,118.3,119.6,117.9,114.2,107.7,104.6,98.2,88.7,86.3,82.8,79.3,76.2,75.3,73.6,73.3,69.1,73.3,75.5,75.4,79.6,82.7,84.1
Diciembre,141.4,141.5,124.2,118.9,118.9,118.2,114.4,107.2,103.8,98.2,87.7,86.0,83.0,78.4,76.0,75.3,73.7,73.2,69.9,73.3,75.3,75.6,80.0,83.2,83.9
Enero,143.8,138.9,123.2,117.6,119.0,118.2,112.5,107.9,103.5,96.7,88.6,85.8,84.9,78.0,75.6,74.9,74.3,73.0,70.4,74.2,75.3,75.7,81.2,82.1,84.7
Febrero,144.0,138.5,122.1,118.2,119.0,117.4,112.0,107.7,103.0,95.4,88.0,85.6,84.3,77.5,75.5,74.7,73.7,72.7,70.5,74.4,75.7,75.4,81.4,82.6,84.2
Marzo,142.7,138.1,121.8,118.9,118.9,117.2,111.5,106.8,102.7,93.9,87.2,85.2,83.8,77.5,75.3,74.6,73.7,72.7,70.9,74.5,75.6,76.2,81.7,83.0,84.4
Abril,142.8,136.1,122.8,118.3,118.1,116.1,110.9,107.3,102.4,93.4,86.9,85.2,83.3,77.1,74.9,74.6,73.7,71.9,71.4,75.0,67.5,77.2,81.4,83.3,85.2
Mayo,142.4,134.4,123.3,117.3,117.8,115.5,110.6,107.2,101.9,92.4,86.8,84.9,83.1,76.5,74.9,74.5,73.8,72.0,71.6,74.9,70.9,77.1,81.4,83.3,84.7
Junio,142.0,134.7,122.8,117.5,118.2,115.2,109.8,107.2,101.1,91.5,86.5,83.8,82.7,76.2,74.8,74.7,73.6,72.1,71.7,75.0,72.8,77.6,82.2,83.5,84.5
