Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,023.8","1,042.2","1,007.0","1,004.6","1,023.9","1,056.5","1,050.9","1,046.1","1,045.9","1,012.5",958.8,930.7,929.2,941.5,919.1,903.8,898.7,894.3,873.6,869.1,880.4,822.9,887.1,923.2,939.7
Agosto,"1,005.3","1,021.7","1,005.6","1,004.9","1,027.1","1,052.9","1,048.7","1,041.3","1,033.6","1,012.2",948.3,927.7,921.2,942.4,920.8,905.5,899.0,893.2,874.3,869.9,880.6,832.4,888.4,928.0,945.8
Septiembre,"1,016.2","1,024.6","1,005.9","1,006.7","1,029.2","1,053.6","1,051.4","1,038.7","1,032.0","1,011.7",943.5,925.9,924.8,944.0,919.4,905.5,899.5,897.1,866.6,869.7,884.7,839.5,895.0,930.9,947.6
Octubre,"1,005.7","1,027.6","1,000.0","1,005.5","1,034.7","1,059.2","1,052.6","1,038.6","1,026.2","1,005.5",945.4,923.6,925.3,944.0,920.4,906.4,897.9,898.0,826.4,866.0,883.1,841.8,901.6,933.9,949.6
Noviembre,"1,008.7","1,025.4",997.1,"1,001.6","1,033.9","1,056.7","1,058.2","1,040.9","1,023.4","1,001.6",942.1,921.5,932.2,943.7,920.9,908.4,896.5,893.2,839.4,869.5,882.7,845.8,904.3,937.3,951.3
Diciembre,"1,005.8","1,021.8",999.7,"1,007.4","1,033.0","1,054.9","1,049.5","1,022.9","1,015.3","1,004.1",940.1,923.0,928.8,939.5,920.9,907.5,895.1,892.0,856.4,866.5,880.4,845.3,905.8,944.5,950.4
Enero,"1,009.2","1,017.1","1,006.3","1,011.8","1,038.7","1,052.1","1,055.4","1,037.0","1,020.9",990.5,941.3,922.2,934.3,936.9,915.8,906.9,896.4,889.1,849.4,875.1,880.0,851.1,912.1,932.0,956.9
Febrero,"1,012.8","1,017.3","1,006.7","1,017.6","1,039.3","1,052.6","1,056.0","1,034.1","1,020.4",986.4,941.6,922.3,933.0,934.3,915.4,906.4,894.0,887.2,852.4,876.0,882.5,852.9,915.2,934.6,957.2
Marzo,"1,014.2","1,016.9","1,004.3","1,022.1","1,040.1","1,051.1","1,057.0","1,034.6","1,019.3",981.6,947.5,920.5,933.1,932.3,914.7,907.9,893.5,886.8,854.1,878.8,885.4,859.0,920.1,939.1,958.5
Abril,"1,023.1","1,016.0","1,005.8","1,020.7","1,039.8","1,053.5","1,051.7","1,035.7","1,016.1",981.2,933.9,924.0,940.1,928.6,911.5,907.0,893.7,883.9,861.3,878.5,767.4,866.9,916.2,939.9,958.6
Mayo,"1,023.6","1,012.4","1,005.2","1,021.0","1,042.4","1,051.9","1,048.7","1,036.9","1,015.3",980.7,938.3,921.6,939.0,927.2,910.7,901.6,893.0,884.4,864.5,880.1,775.2,867.7,918.8,942.0,959.1
Junio,"1,064.2","1,018.6",994.6,"1,010.8","1,048.0","1,050.6","1,044.6","1,034.8","1,026.4",975.1,931.8,925.2,943.2,927.7,905.9,898.1,892.5,883.7,868.4,884.4,803.6,875.3,923.0,938.2,956.8
