Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,45.5,45.5,45.4,43.8,45.8,47.4,49.3,50.1,48.3,49.4,46.8,43.6,44.1,44.5,43.7,42.7,42.1,42.4,42.6,41.9,43.7,43.3,44.3,47.1,47.8
Agosto,45.4,45.6,44.7,43.9,46.1,47.7,49.1,49.9,48.4,49.5,46.3,43.5,44.0,44.5,43.8,42.7,41.9,42.5,42.4,42.3,43.7,43.5,44.6,47.0,47.8
Septiembre,45.8,45.6,44.6,43.7,45.9,47.9,49.4,49.7,48.2,49.5,46.3,43.6,44.2,44.7,43.5,42.7,41.9,42.7,42.1,42.5,44.1,43.7,44.8,47.1,47.7
Octubre,46.0,45.4,45.8,43.6,46.8,48.6,49.5,49.5,48.1,49.2,46.2,43.7,44.1,44.7,43.4,42.8,41.8,42.8,41.4,42.8,44.2,43.7,45.1,47.5,47.6
Noviembre,46.3,45.6,45.6,43.4,46.9,48.8,49.6,49.3,47.9,49.0,46.2,43.9,43.9,44.9,43.3,42.6,42.0,42.8,41.3,43.2,44.4,43.8,45.5,47.6,47.7
Diciembre,46.3,45.4,45.7,43.7,46.8,49.3,49.5,48.8,47.0,48.8,45.8,43.8,44.3,44.7,43.6,43.4,42.1,42.7,41.4,43.2,44.5,43.8,45.5,48.6,47.4
Enero,45.3,45.0,45.2,45.2,46.8,49.0,50.5,49.2,48.7,48.3,45.9,43.5,44.6,44.4,43.5,42.2,42.5,42.6,41.2,43.5,44.9,43.4,46.5,47.0,47.6
Febrero,44.9,45.2,45.6,45.3,46.9,48.9,50.3,48.7,48.6,48.0,45.9,43.8,44.7,44.1,43.5,42.0,42.5,42.6,41.1,43.5,45.1,43.7,46.5,47.1,48.1
Marzo,44.9,45.2,45.8,45.4,47.0,49.0,50.3,48.7,48.5,47.5,45.7,43.7,44.7,44.0,43.4,42.1,42.5,42.5,41.2,43.8,45.0,43.6,46.8,47.3,48.2
Abril,45.8,45.1,43.6,46.0,47.6,49.0,50.1,48.4,49.4,47.4,45.4,43.8,44.5,44.1,43.3,42.4,42.2,42.5,41.5,43.4,42.7,44.0,46.7,47.2,48.3
Mayo,45.7,44.8,43.9,45.9,47.7,49.1,50.0,48.5,49.4,47.5,44.7,43.9,44.6,43.9,43.0,42.3,42.2,42.5,41.9,43.4,42.7,44.0,46.8,47.3,48.1
Junio,45.6,45.9,43.6,45.8,47.9,49.3,49.8,48.4,49.3,47.6,44.9,43.9,44.8,43.9,43.0,42.2,42.3,42.6,42.2,43.5,42.8,44.2,46.9,47.4,48.0
