Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,14.9,15.4,14.8,14.2,13.7,14.3,14.7,15.4,14.2,14.2,13.0,12.7,12.9,13.0,12.8,12.6,12.7,13.5,13.7,13.4,14.3,13.6,14.5,15.5,15.8
Agosto,15.0,15.4,14.6,14.1,13.8,14.5,14.8,15.2,14.1,14.3,12.7,12.7,12.8,13.0,12.8,12.6,12.7,13.6,13.6,13.5,14.3,13.7,14.6,15.4,15.8
Septiembre,15.0,15.4,14.6,14.0,13.7,14.5,14.8,15.1,14.1,14.2,12.9,12.7,12.9,13.2,12.7,12.6,12.7,13.7,13.5,13.6,14.5,13.8,14.7,15.6,15.8
Octubre,15.1,15.4,14.3,14.0,13.9,14.9,14.8,14.9,14.1,13.9,12.9,12.7,12.8,13.1,12.7,12.6,12.9,13.8,13.0,13.4,14.6,13.7,15.0,15.8,15.9
Noviembre,15.2,15.5,14.2,13.9,14.1,14.9,14.8,15.0,14.0,13.8,12.9,12.8,12.6,13.1,12.5,12.8,13.4,13.7,13.1,13.7,14.6,13.8,15.2,15.9,15.8
Diciembre,15.3,15.4,14.1,14.0,14.1,15.0,14.7,14.8,13.9,13.7,13.2,12.9,12.8,12.9,12.6,12.7,13.6,13.6,13.3,13.5,14.6,13.8,15.1,16.1,15.7
Enero,15.1,15.2,14.8,14.1,14.1,15.0,15.0,14.7,14.5,13.5,12.8,12.7,12.8,12.9,12.7,12.7,13.7,13.5,13.1,13.8,14.7,13.9,15.7,15.3,15.8
Febrero,14.9,15.2,14.6,14.0,14.1,14.9,14.9,14.6,14.5,13.3,12.8,12.9,12.8,12.9,12.7,12.6,13.7,13.5,13.1,13.8,14.8,14.1,15.6,15.4,16.0
Marzo,15.0,15.1,14.5,14.1,14.3,14.8,14.8,14.6,14.5,13.2,12.8,12.7,12.8,12.9,12.7,12.7,13.7,13.5,13.2,13.9,14.8,14.2,15.7,15.5,16.1
Abril,15.4,14.9,14.5,14.3,14.8,14.8,14.8,14.2,14.4,13.3,13.1,12.5,12.7,12.9,12.8,12.8,13.5,13.6,13.2,14.2,12.7,14.4,15.4,15.5,16.1
Mayo,15.4,14.7,14.6,14.3,14.9,14.7,14.8,14.3,14.4,13.2,12.8,12.7,12.8,12.9,12.7,12.8,13.5,13.6,13.3,14.3,12.8,14.4,15.4,15.6,16.1
Junio,15.3,14.8,14.2,14.2,14.9,14.7,14.9,14.3,14.3,13.1,12.7,12.7,13.0,12.9,12.7,12.7,13.6,13.6,13.4,14.3,13.1,14.4,15.5,15.6,16.1
