Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,129.9,133.9,135.5,130.0,129.9,134.7,137.6,135.2,132.0,130.7,125.2,127.9,128.4,129.3,130.4,130.0,128.6,128.8,127.2,124.4,125.2,117.3,127.3,129.9,131.5
Agosto,130.4,134.1,133.1,129.4,130.6,135.0,137.8,135.0,131.3,129.7,125.7,127.8,128.1,129.9,130.5,130.1,128.8,128.4,127.1,124.6,125.2,119.0,127.9,129.7,131.7
Septiembre,131.1,134.4,132.8,129.2,130.6,134.9,138.1,134.9,131.3,129.1,125.4,127.9,128.2,130.1,130.6,129.8,128.8,128.7,125.8,125.0,125.5,120.5,130.2,130.4,131.4
Octubre,131.9,136.5,130.3,129.7,131.4,136.6,136.9,134.5,130.2,128.1,125.9,128.1,128.2,131.0,131.4,129.3,128.5,128.8,114.2,124.7,125.8,122.6,129.1,130.5,133.0
Noviembre,131.7,136.5,129.0,129.2,131.3,136.5,137.5,134.9,130.9,127.2,125.9,128.2,128.5,130.8,131.4,129.1,128.5,128.6,111.9,125.4,125.3,122.6,129.1,130.6,132.9
Diciembre,131.4,136.0,128.0,130.0,132.1,137.0,137.1,134.2,130.7,127.3,124.7,128.4,128.3,130.5,132.2,129.0,128.8,129.2,114.9,125.2,126.0,122.6,128.4,131.2,132.6
Enero,131.7,135.3,131.0,130.9,131.5,136.3,138.3,133.1,131.6,127.1,126.5,128.3,128.4,130.3,131.2,129.0,129.4,128.8,117.3,126.9,125.9,123.3,129.5,130.2,133.7
Febrero,131.4,135.2,130.1,131.1,132.0,136.0,137.9,132.5,131.5,126.6,126.8,128.1,127.7,131.0,131.2,128.9,129.2,128.8,118.7,126.8,125.5,123.7,130.6,130.3,133.9
Marzo,131.8,134.9,130.2,132.2,132.4,135.9,138.1,133.0,130.9,126.2,126.9,128.1,127.6,131.1,130.8,128.9,129.3,128.9,119.2,126.6,124.6,125.0,130.7,130.9,134.1
Abril,134.0,134.6,129.8,130.0,133.0,136.4,137.7,133.0,130.5,125.9,127.1,127.9,128.4,131.0,130.8,129.0,129.3,128.2,121.2,126.7,97.7,125.7,130.0,131.0,134.0
Mayo,133.6,134.0,130.1,129.8,133.9,136.9,136.4,132.9,130.4,125.8,126.9,127.9,128.7,131.2,130.4,129.1,128.8,128.3,122.1,126.3,101.1,126.8,129.6,131.1,134.3
Junio,133.1,134.5,129.1,131.3,134.6,137.3,135.3,132.7,130.2,125.5,127.5,128.1,128.4,131.1,130.4,128.6,128.7,127.8,123.2,125.6,111.3,127.6,130.1,131.1,134.3
