Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,31.4,32.5,33.1,31.8,32.6,33.4,34.3,33.5,33.6,33.4,32.6,32.3,31.7,31.6,31.3,30.8,29.8,29.5,29.4,29.3,30.2,29.8,31.9,32.9,33.1
Agosto,31.6,32.7,32.2,31.8,32.8,33.5,34.3,33.4,33.7,33.5,32.9,32.2,31.6,32.0,31.2,30.5,29.7,29.4,29.4,29.3,30.6,29.8,31.9,33.0,33.3
Septiembre,31.7,32.8,32.3,31.8,33.0,33.5,34.3,33.2,33.8,33.5,32.7,31.9,31.5,31.6,31.2,30.7,29.7,29.6,29.1,29.5,30.7,30.1,32.0,33.0,33.5
Octubre,31.5,32.9,32.0,31.8,33.2,33.6,34.2,33.4,33.8,33.3,32.7,32.2,31.6,31.4,31.0,30.7,29.8,29.4,28.0,29.6,30.5,30.4,32.2,33.0,32.7
Noviembre,31.8,32.6,32.7,31.6,33.3,33.7,34.2,33.2,33.9,33.3,32.7,32.2,31.7,31.5,31.1,30.6,29.9,29.4,28.2,29.9,30.5,30.4,32.5,33.1,32.4
Diciembre,31.5,32.4,32.9,31.3,33.7,33.5,34.2,31.8,33.0,33.4,32.9,32.2,31.4,31.3,30.9,30.4,29.8,29.3,28.5,29.8,30.4,30.5,32.4,33.3,32.5
Enero,32.2,32.3,31.8,32.6,33.6,33.5,33.9,33.4,33.9,33.5,32.7,32.0,31.4,31.6,30.9,30.4,29.7,29.6,28.5,30.0,30.5,30.4,32.8,32.6,32.2
Febrero,32.4,32.2,31.9,32.6,33.7,33.6,33.9,33.4,33.8,33.3,32.5,32.1,31.3,31.6,31.0,30.3,29.5,29.5,28.7,30.1,30.4,30.6,33.0,32.6,31.7
Marzo,32.5,32.3,31.8,32.6,33.5,33.6,34.0,33.5,34.0,33.0,32.5,32.0,31.3,31.7,30.9,30.2,29.5,29.6,28.8,30.2,30.3,30.8,33.1,32.7,32.0
Abril,32.4,32.6,32.0,32.5,33.4,34.2,33.9,33.4,33.6,33.1,32.5,31.7,31.5,31.6,31.0,30.2,29.5,29.5,28.9,30.2,28.1,31.2,32.6,32.9,31.9
Mayo,32.5,32.7,31.9,32.8,33.3,34.1,33.6,33.5,33.7,33.1,32.5,31.6,31.6,31.4,30.8,30.1,29.5,29.5,29.1,30.3,28.8,31.3,32.8,33.0,32.0
Junio,32.5,33.0,31.4,33.1,33.4,34.3,33.2,33.6,33.6,32.9,32.3,31.7,31.6,31.5,30.8,30.2,29.5,29.7,29.2,30.1,29.4,31.6,32.7,33.1,32.2
