Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,180.5,185.9,188.4,179.8,179.2,185.6,189.8,186.1,182.6,180.6,172.6,174.4,174.7,175.4,176.1,175.7,173.3,174.1,172.5,170.5,173.0,163.8,178.9,183.5,187.0
Agosto,181.2,186.5,184.4,178.9,180.1,186.2,189.9,185.3,181.9,179.6,173.3,174.3,174.4,176.4,176.4,175.5,173.4,173.8,172.2,170.9,173.6,165.1,179.3,183.7,187.5
Septiembre,182.2,186.8,184.1,178.6,180.4,186.0,190.2,185.0,182.1,178.8,172.8,174.1,174.4,176.3,176.5,175.3,173.6,174.3,170.5,171.3,174.6,166.9,182.0,184.6,187.4
Octubre,182.9,189.1,180.0,179.1,181.5,187.9,188.7,184.7,180.9,177.4,173.5,174.5,174.2,177.2,177.0,174.8,173.5,174.2,157.2,171.2,174.4,169.6,180.9,185.0,188.1
Noviembre,183.0,188.8,179.2,178.4,181.5,187.9,189.3,185.0,181.6,176.4,173.3,174.7,174.8,177.0,177.3,174.6,173.6,174.0,155.7,172.4,173.7,170.0,181.5,185.3,187.8
Diciembre,182.0,188.3,178.7,178.3,182.8,188.1,188.8,182.9,180.2,176.8,172.6,175.2,174.2,176.5,177.8,174.2,174.1,174.4,159.0,172.2,174.4,169.8,181.2,186.4,187.8
Enero,183.6,187.0,180.6,180.8,182.3,187.2,189.5,183.4,182.4,176.3,173.8,174.6,174.4,176.6,177.1,174.0,174.5,174.0,161.6,174.5,173.9,169.5,182.4,184.7,189.3
Febrero,183.4,186.8,179.6,180.9,183.2,186.8,188.9,182.8,182.2,175.4,173.9,174.6,173.9,177.2,177.2,173.9,174.3,174.1,163.2,174.7,173.8,170.2,183.8,185.0,188.9
Marzo,183.9,186.4,179.6,182.1,183.1,186.6,189.4,183.5,181.5,174.4,173.9,174.6,173.5,177.3,176.7,173.8,174.4,174.4,164.0,175.0,172.7,171.9,184.0,186.0,189.4
Abril,185.9,186.6,179.1,179.6,183.6,188.5,188.6,183.5,180.9,174.0,173.9,174.1,174.5,177.3,176.8,174.0,174.5,173.5,166.3,174.5,141.1,173.2,183.1,186.2,189.2
Mayo,185.5,186.0,179.6,179.7,184.3,188.8,187.0,183.6,180.4,173.9,173.7,174.1,174.9,177.4,176.1,174.0,174.1,173.6,167.6,174.3,145.4,174.6,183.0,186.4,189.3
Junio,185.1,186.4,178.2,181.2,185.4,189.5,185.6,183.5,180.2,173.3,174.0,174.1,174.6,177.3,176.1,173.5,174.1,173.3,169.0,173.4,156.5,176.9,183.6,186.5,189.1
