Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,30.6,30.1,30.6,29.6,32.1,33.1,34.6,34.7,34.1,35.2,33.8,30.9,31.2,31.5,30.9,30.1,29.4,28.9,28.9,28.5,29.4,29.7,29.8,31.6,32.0
Agosto,30.4,30.2,30.1,29.8,32.3,33.2,34.3,34.7,34.3,35.2,33.6,30.8,31.2,31.5,31.0,30.1,29.2,28.9,28.8,28.8,29.4,29.8,30.0,31.6,32.0
Septiembre,30.8,30.2,30.0,29.7,32.2,33.4,34.6,34.6,34.1,35.3,33.4,30.9,31.3,31.5,30.8,30.1,29.2,29.0,28.6,28.9,29.6,29.9,30.1,31.5,31.9
Octubre,30.9,30.0,31.5,29.6,32.9,33.7,34.7,34.6,34.0,35.3,33.3,31.0,31.3,31.6,30.7,30.2,28.9,29.0,28.4,29.4,29.6,29.9,30.1,31.7,31.7
Noviembre,31.1,30.1,31.4,29.5,32.8,33.9,34.8,34.3,33.9,35.2,33.3,31.1,31.3,31.8,30.8,29.8,28.6,29.1,28.2,29.5,29.8,30.0,30.3,31.7,31.9
Diciembre,31.0,30.0,31.6,29.7,32.7,34.3,34.8,34.0,33.1,35.1,32.6,30.9,31.5,31.8,31.0,30.7,28.5,29.1,28.1,29.7,29.9,30.0,30.4,32.5,31.7
Enero,30.2,29.8,30.4,31.1,32.7,34.0,35.5,34.5,34.2,34.8,33.1,30.8,31.8,31.5,30.8,29.5,28.8,29.1,28.1,29.7,30.2,29.5,30.8,31.7,31.8
Febrero,30.0,30.0,31.0,31.3,32.8,34.0,35.4,34.1,34.1,34.7,33.1,30.9,31.9,31.2,30.8,29.4,28.8,29.1,28.0,29.7,30.3,29.6,30.9,31.7,32.1
Marzo,29.9,30.1,31.3,31.3,32.7,34.2,35.5,34.1,34.0,34.3,32.9,31.0,31.9,31.1,30.7,29.4,28.8,29.0,28.0,29.9,30.2,29.4,31.1,31.8,32.1
Abril,30.4,30.2,29.1,31.7,32.8,34.2,35.3,34.2,35.0,34.1,32.3,31.3,31.8,31.2,30.5,29.6,28.7,28.9,28.3,29.2,30.0,29.6,31.3,31.7,32.2
Mayo,30.3,30.1,29.3,31.6,32.8,34.4,35.2,34.2,35.0,34.3,31.9,31.2,31.8,31.0,30.3,29.5,28.7,28.9,28.6,29.1,29.9,29.6,31.4,31.7,32.0
Junio,30.3,31.1,29.4,31.6,33.0,34.6,34.9,34.1,35.0,34.5,32.2,31.2,31.8,31.0,30.3,29.5,28.7,29.0,28.8,29.2,29.7,29.8,31.4,31.8,31.9
