Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,230.8,234.7,198.9,224.7,228.0,238.5,225.2,227.1,233.2,213.8,200.1,188.8,185.7,181.7,172.4,163.2,161.4,158.1,148.7,142.4,137.2,126.0,129.6,125.1,125.8
Agosto,211.2,211.4,211.6,225.4,230.4,229.5,225.7,224.3,219.9,216.4,203.0,187.7,181.4,180.4,172.5,165.3,162.6,157.4,149.0,140.2,135.0,126.7,128.3,128.3,128.3
Septiembre,217.8,212.7,212.9,225.6,229.6,231.4,226.0,224.2,217.6,217.3,201.9,187.5,183.0,183.7,170.9,164.2,161.9,157.8,147.8,139.1,137.2,127.0,127.4,128.1,129.0
Octubre,211.3,211.9,212.9,227.3,229.2,233.8,227.7,222.7,217.2,217.3,201.6,186.4,183.7,183.1,169.6,164.0,161.1,158.0,147.0,138.8,133.8,127.0,128.3,128.0,128.6
Noviembre,212.8,210.9,214.0,226.7,228.7,231.7,230.6,224.6,215.9,218.5,200.1,184.0,188.0,183.7,168.6,165.0,159.4,155.2,147.0,138.0,133.8,130.0,127.4,128.3,128.7
Diciembre,213.5,207.0,214.5,228.7,229.6,228.5,221.8,214.9,216.6,220.7,197.1,184.7,184.7,181.4,168.9,162.9,159.1,154.9,146.2,138.4,132.0,127.8,127.7,128.5,127.9
Enero,212.9,209.8,218.5,224.1,229.0,227.6,226.8,222.4,216.3,217.8,198.6,185.2,185.2,179.1,167.4,164.2,159.0,152.7,145.6,137.2,131.8,129.5,126.4,129.0,128.6
Febrero,213.1,210.4,221.1,228.1,227.4,228.5,226.9,221.6,216.2,218.9,196.8,184.7,182.9,178.9,168.1,164.3,158.6,151.7,144.3,136.4,131.8,129.2,126.6,128.9,128.8
Marzo,211.8,210.3,221.3,227.5,227.3,228.4,226.9,221.3,215.8,218.9,198.4,184.6,183.3,177.6,167.5,164.8,157.9,151.0,143.7,136.2,130.9,129.1,127.3,128.6,128.3
Abril,211.6,210.5,221.9,228.2,227.0,229.9,225.9,220.9,215.0,217.9,194.5,185.5,185.7,175.8,167.1,164.2,157.2,152.0,143.0,136.0,130.3,129.4,126.2,129.0,127.7
Mayo,212.1,209.3,222.7,228.6,227.9,229.8,224.7,220.9,215.2,220.1,191.3,185.8,183.7,175.2,166.8,160.6,157.4,151.7,142.9,136.4,128.1,128.2,126.9,128.8,126.4
Junio,250.6,209.6,219.0,215.0,229.2,228.1,224.7,221.4,226.7,214.4,189.2,185.1,183.3,174.1,166.2,159.9,156.2,150.0,143.8,138.8,127.3,129.5,126.0,123.9,126.3
