Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,15.7,15.6,14.5,14.5,15.5,15.0,14.7,15.2,14.9,14.8,14.5,17.5,14.6,14.2,14.0,13.8,14.3,14.4,14.5,16.5,16.4,17.5,17.9,18.7,19.9
Agosto,15.4,15.5,14.5,14.4,15.5,15.0,14.7,14.6,14.9,14.7,14.5,16.2,14.6,14.5,14.0,13.8,14.3,14.5,14.5,16.5,16.3,23.7,18.1,18.9,19.8
Septiembre,15.4,15.5,14.6,14.5,15.3,15.0,14.8,14.3,15.0,14.9,14.3,14.7,14.7,14.5,13.8,13.9,14.2,14.4,14.6,16.5,16.3,23.6,18.1,18.9,20.1
Octubre,15.3,15.5,14.7,14.6,14.8,15.0,15.1,14.3,14.8,14.9,14.5,14.5,14.8,14.5,13.9,13.8,14.2,14.5,14.6,16.7,16.3,18.9,18.0,19.1,20.1
Noviembre,15.3,15.9,14.5,14.7,14.7,15.1,15.0,14.5,14.9,14.7,14.5,14.4,14.7,14.4,13.9,14.0,14.1,14.6,15.6,16.5,16.2,17.6,18.1,19.4,20.0
Diciembre,15.3,15.8,14.5,14.7,14.9,15.0,15.0,14.6,15.3,14.7,14.4,14.3,14.5,14.5,13.8,13.9,14.3,14.7,15.9,16.3,16.1,17.6,18.2,19.4,19.9
Enero,15.4,14.3,14.6,15.7,15.2,14.9,14.8,14.6,14.8,14.8,14.3,14.6,14.4,14.3,13.7,14.1,14.2,14.6,15.8,16.3,16.5,17.5,18.4,19.5,20.1
Febrero,19.1,14.3,14.4,15.9,15.3,14.9,14.8,14.6,14.6,14.8,15.7,14.7,14.4,14.2,13.7,14.2,14.3,14.6,15.7,16.4,16.8,17.4,18.3,19.7,20.3
Marzo,19.6,14.4,14.4,15.9,15.3,14.7,14.8,14.8,14.4,14.9,22.2,14.6,14.3,14.1,13.8,14.2,14.4,14.5,15.8,16.4,22.6,17.5,18.3,19.8,20.5
Abril,23.9,14.3,14.4,15.9,15.1,14.6,14.6,14.7,14.7,17.1,16.5,14.6,14.2,14.0,13.8,14.2,14.4,14.6,16.3,16.4,22.8,17.5,18.5,19.9,20.5
Mayo,24.1,14.5,14.4,15.7,14.9,14.6,14.7,14.7,14.8,16.0,23.9,14.7,14.2,14.0,13.9,14.1,14.4,14.6,16.5,16.3,18.5,17.5,18.7,19.9,20.6
Junio,23.6,14.7,14.5,15.6,15.0,14.5,14.9,14.9,14.9,14.7,19.4,14.5,14.0,14.0,13.9,14.1,14.5,14.6,16.7,16.4,21.0,17.6,18.5,20.0,20.6
