Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,51.4,51.0,58.5,55.7,60.0,60.0,62.8,60.1,61.6,67.7,72.7,60.0,62.4,62.6,55.3,54.1,55.1,55.7,50.3,48.5,50.8,49.3,48.7,49.2,51.8
Agosto,51.2,53.1,58.6,55.8,58.1,63.4,62.6,60.7,62.7,68.2,60.2,59.7,60.1,61.9,55.2,54.6,55.0,55.7,51.1,49.7,50.1,49.8,48.9,49.4,51.4
Septiembre,51.2,53.6,58.1,56.5,58.4,62.9,62.6,61.4,63.0,68.4,60.2,59.9,59.3,63.5,55.6,55.0,54.8,56.5,51.3,49.1,50.1,49.9,48.9,49.5,51.5
Octubre,51.3,53.9,58.2,56.0,58.2,63.7,62.2,62.0,63.2,68.7,60.4,59.4,59.3,62.9,55.6,54.9,55.0,56.1,51.2,48.7,49.4,49.8,49.1,49.6,52.1
Noviembre,51.2,53.7,57.4,56.0,58.6,63.5,62.2,62.3,63.5,68.6,60.3,59.2,59.5,62.7,55.2,55.0,55.2,55.9,52.2,49.4,49.4,49.4,49.3,49.6,52.3
Diciembre,50.6,53.4,59.1,56.1,59.1,63.5,62.3,62.7,63.7,68.1,60.9,60.9,60.0,61.8,54.9,55.1,55.0,55.8,52.7,48.5,49.4,49.1,49.5,49.8,52.6
Enero,50.8,58.6,59.1,56.2,59.4,63.4,62.7,62.4,64.3,64.7,61.0,59.7,60.3,60.0,54.8,55.3,55.1,54.8,50.2,49.3,49.6,49.2,48.4,49.8,53.0
Febrero,50.7,58.6,58.9,56.6,59.4,63.7,62.5,62.8,64.9,64.4,61.6,58.9,61.0,59.1,55.2,55.0,55.4,54.7,49.6,49.4,49.9,49.2,48.7,50.0,53.3
Marzo,50.6,59.1,59.2,56.4,59.9,63.7,62.5,62.9,65.5,64.5,62.0,58.5,60.4,58.8,55.1,55.3,55.4,54.7,49.4,49.3,49.6,49.3,48.7,49.9,53.4
Abril,50.2,58.7,61.0,56.6,60.3,63.4,62.5,63.1,66.4,64.5,61.1,58.7,60.2,58.5,54.9,54.9,55.9,54.6,50.3,49.7,49.1,48.7,48.8,50.7,53.6
Mayo,50.2,57.6,55.8,57.3,60.3,62.9,62.1,63.2,67.4,65.6,60.7,58.1,59.8,58.3,54.6,55.5,55.7,54.4,50.5,49.6,48.9,48.9,48.9,50.8,53.7
Junio,50.6,58.5,54.2,57.2,59.5,62.3,60.2,60.6,68.2,71.4,60.6,63.3,61.8,57.7,51.7,54.7,55.6,53.2,50.2,51.7,49.0,48.8,49.2,51.0,53.6
