Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,297.9,301.3,271.9,294.9,303.5,313.5,302.7,302.4,309.7,296.3,287.3,266.3,262.7,258.5,241.7,231.1,230.8,228.2,213.5,207.4,204.4,192.8,196.2,193.0,197.5
Agosto,277.8,280.0,284.7,295.6,304.0,307.9,303.0,299.6,297.5,299.3,277.7,263.6,256.1,256.8,241.7,233.7,231.9,227.6,214.6,206.4,201.4,200.2,195.3,196.6,199.5
Septiembre,284.4,281.8,285.6,296.6,303.3,309.3,303.4,299.9,295.6,300.6,276.4,262.1,257.0,261.7,240.3,233.1,230.9,228.7,213.7,204.7,203.6,200.5,194.4,196.5,200.6
Octubre,277.9,281.3,285.8,297.9,302.2,312.5,305.0,299.0,295.2,300.9,276.5,260.3,257.8,260.5,239.1,232.7,230.3,228.6,212.8,204.2,199.5,195.7,195.4,196.7,200.8
Noviembre,279.3,280.5,285.9,297.4,302.0,310.3,307.8,301.4,294.3,301.8,274.9,257.6,262.2,260.8,237.7,234.0,228.7,225.7,214.8,203.9,199.4,197.0,194.8,197.3,201.0
Diciembre,279.4,276.2,288.1,299.5,303.6,307.0,299.1,292.2,295.6,303.5,272.4,259.9,259.2,257.7,237.6,231.9,228.4,225.4,214.8,203.2,197.5,194.5,195.4,197.7,200.4
Enero,279.1,282.7,292.2,296.0,303.6,305.9,304.3,299.4,295.4,297.3,273.9,259.5,259.9,253.4,235.9,233.6,228.3,222.1,211.6,202.8,197.9,196.2,193.2,198.3,201.7
Febrero,282.9,283.3,294.4,300.6,302.1,307.1,304.2,299.0,295.7,298.1,274.1,258.3,258.3,252.2,237.0,233.5,228.3,221.0,209.6,202.2,198.5,195.8,193.6,198.6,202.4
Marzo,282.0,283.8,294.9,299.8,302.5,306.8,304.2,299.0,295.7,298.3,282.6,257.7,258.0,250.5,236.4,234.3,227.7,220.2,208.9,201.9,203.1,195.9,194.3,198.3,202.2
Abril,285.7,283.5,297.3,300.7,302.4,307.9,303.0,298.7,296.1,299.5,272.1,258.8,260.1,248.3,235.8,233.3,227.5,221.2,209.6,202.1,202.2,195.6,193.5,199.6,201.8
Mayo,286.4,281.4,292.9,301.6,303.1,307.3,301.5,298.8,297.4,301.7,275.9,258.6,257.7,247.5,235.3,230.2,227.5,220.7,209.9,202.3,195.5,194.6,194.5,199.5,200.7
Junio,324.8,282.8,287.7,287.8,303.7,304.9,299.8,296.9,309.8,300.5,269.2,262.9,259.1,245.8,231.8,228.7,226.3,217.8,210.7,206.9,197.3,195.9,193.7,194.9,200.5
