Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,61.4,62.7,64.3,63.4,65.2,67.3,70.5,70.8,69.8,68.3,66.8,68.1,68.3,71.7,75.6,76.6,77.3,76.6,76.4,70.5,75.9,61.3,75.1,82.1,88.1
Agosto,61.8,62.4,63.0,63.7,65.8,67.7,70.4,70.8,69.7,68.2,67.2,67.7,68.7,72.0,75.7,76.6,77.5,76.5,76.2,71.2,75.8,60.5,75.8,82.3,89.1
Septiembre,62.4,63.0,62.4,64.1,66.2,67.7,70.9,70.1,70.1,68.1,67.0,68.0,69.8,72.3,76.0,76.5,77.8,76.5,75.1,72.0,75.8,62.5,76.9,83.0,89.7
Octubre,63.3,63.3,61.4,64.3,67.7,68.0,71.2,70.4,69.1,67.3,67.7,68.1,69.4,73.4,75.8,76.6,77.9,76.4,64.2,71.3,76.1,63.9,77.6,83.7,90.4
Noviembre,63.3,63.1,60.5,64.4,67.2,68.0,71.4,70.4,68.9,67.3,67.5,68.3,70.1,73.5,75.9,76.3,78.4,75.4,67.2,72.1,76.2,64.9,78.2,84.5,91.1
Diciembre,62.5,63.4,61.2,65.2,66.6,68.7,72.5,69.5,68.7,67.2,67.8,68.1,69.8,74.2,76.0,75.8,77.2,76.1,70.7,72.5,76.9,65.8,78.9,86.7,91.1
Enero,61.4,63.7,61.7,64.4,66.6,69.4,70.7,69.0,70.5,67.2,67.6,69.0,69.6,74.1,76.5,76.8,76.3,76.8,69.4,73.1,76.7,67.0,79.6,84.7,91.7
Febrero,61.4,64.0,62.0,64.6,66.6,69.4,71.6,68.7,70.6,67.1,67.8,68.6,69.8,74.5,76.1,77.7,76.0,77.1,70.2,73.7,76.5,67.5,80.0,85.3,91.8
Marzo,62.2,63.9,61.7,65.3,66.7,69.7,71.6,68.6,70.4,66.9,68.1,68.2,70.0,74.6,76.6,77.4,76.0,77.4,70.7,73.9,76.2,68.8,80.6,87.5,91.9
Abril,62.4,63.2,62.6,65.3,66.0,70.0,71.3,69.1,69.1,66.9,67.9,68.5,70.5,75.0,76.6,77.3,76.4,76.9,70.3,75.6,46.3,71.1,80.2,86.1,91.3
Mayo,62.6,64.1,63.7,64.8,66.7,70.2,71.4,68.5,68.9,67.3,67.8,68.5,70.8,75.3,76.6,77.6,76.2,76.8,70.5,75.8,49.8,71.2,81.2,86.6,92.7
Junio,62.8,64.7,62.7,65.1,66.9,70.4,71.1,69.5,68.8,67.3,67.9,68.3,71.3,75.7,76.3,77.6,76.3,77.7,70.4,76.1,56.5,72.0,81.9,86.6,93.5
