Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,21.3,20.7,22.6,22.1,21.3,22.8,22.5,22.9,22.2,20.8,19.3,19.6,18.5,19.8,19.1,19.0,19.0,17.4,18.0,17.8,16.0,14.3,15.9,15.6,13.9
Agosto,21.5,20.6,22.5,22.0,21.4,23.3,22.5,22.3,22.0,20.6,19.2,20.2,18.5,20.0,18.9,19.3,19.0,17.3,18.1,17.8,16.0,14.2,15.7,15.6,13.9
Septiembre,21.2,20.6,22.7,21.9,21.5,23.1,22.5,22.5,21.9,20.5,19.1,19.2,18.6,19.6,18.9,19.6,19.3,17.4,18.0,17.8,16.0,14.1,15.6,15.5,13.9
Octubre,21.6,20.9,22.6,21.9,21.7,22.8,22.5,22.6,21.8,20.5,18.9,18.5,18.6,18.7,19.6,19.8,19.0,17.3,17.5,15.7,19.1,14.7,17.0,15.3,14.0
Noviembre,21.6,20.6,22.8,21.7,21.8,22.8,22.3,22.8,21.5,20.1,18.9,18.3,18.7,18.8,19.5,20.5,18.7,17.6,17.1,16.0,19.1,15.2,16.9,15.1,13.7
Diciembre,21.5,20.5,23.1,21.7,21.9,22.8,22.5,22.8,21.4,20.3,18.8,18.4,18.7,19.0,19.4,20.9,18.6,17.5,17.0,16.1,18.9,14.9,17.5,15.4,13.8
Enero,20.9,20.4,22.0,21.1,21.7,22.4,22.8,22.7,21.3,20.1,18.7,18.3,18.1,19.1,20.8,19.7,18.8,17.6,16.5,16.7,18.8,15.0,16.7,15.8,13.7
Febrero,20.7,20.3,22.0,21.3,21.7,22.2,22.9,22.7,21.1,21.0,18.7,18.4,18.4,19.0,20.9,19.9,18.8,17.6,16.5,16.8,18.8,15.0,16.6,15.6,13.8
Marzo,20.8,20.3,21.9,21.3,21.7,22.2,22.9,22.7,21.0,20.0,18.4,18.2,18.7,18.8,20.9,20.3,18.4,17.5,16.6,16.7,19.1,14.8,16.8,15.5,13.8
Abril,20.8,21.0,22.5,21.4,22.8,22.2,22.7,22.8,21.0,19.9,18.5,19.1,19.6,19.1,19.1,21.5,18.0,18.0,16.7,15.8,14.6,15.3,16.5,15.5,13.9
Mayo,20.7,21.4,22.5,21.3,22.8,22.3,22.9,22.5,21.0,19.6,18.5,18.4,18.8,19.0,19.2,19.3,17.8,18.2,16.6,15.7,14.6,15.2,16.4,15.6,13.8
Junio,20.9,22.0,22.3,21.4,22.7,22.6,23.3,22.3,20.9,19.4,18.5,18.4,18.7,19.2,19.2,19.2,18.0,18.2,16.4,15.9,14.6,15.1,16.6,15.6,14.0
