Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,20.0,19.6,20.0,20.9,22.9,24.7,24.8,21.7,21.8,21.1,19.2,18.3,17.6,17.9,17.8,17.9,17.4,17.6,17.8,17.3,18.1,16.3,17.7,18.7,18.9
Agosto,19.9,19.7,19.7,20.7,22.9,24.8,24.7,21.5,21.7,20.8,19.1,18.2,17.6,17.8,17.9,17.9,17.3,17.5,17.9,17.4,18.1,16.5,17.7,18.7,19.0
Septiembre,20.0,19.7,19.4,20.8,22.8,24.8,24.6,21.9,21.7,20.8,18.9,18.2,17.5,17.9,18.1,17.9,17.3,17.7,17.6,17.4,18.2,16.6,18.0,18.8,18.9
Octubre,19.9,20.1,19.1,20.5,23.3,24.8,24.8,21.8,21.6,20.7,18.9,18.1,17.6,18.0,18.0,18.0,17.3,17.7,16.5,17.4,18.1,16.8,18.2,18.8,18.8
Noviembre,19.9,20.0,19.2,20.4,23.3,24.7,24.7,21.8,21.4,20.3,18.9,18.0,17.6,18.0,18.0,17.9,17.4,17.8,16.7,17.4,18.0,16.8,18.3,18.8,19.0
Diciembre,19.8,20.1,19.0,20.3,23.0,24.9,24.8,21.8,21.5,20.7,18.5,18.0,17.5,18.1,17.9,17.9,17.5,17.6,17.2,17.4,18.1,16.9,18.4,19.1,19.0
Enero,19.6,20.1,20.9,23.4,24.1,24.7,24.8,22.3,21.0,19.8,18.7,17.9,17.6,17.9,17.7,18.0,17.5,17.7,17.1,17.9,18.1,17.0,18.5,18.9,19.0
Febrero,19.4,20.2,20.7,23.3,24.3,24.7,24.6,22.1,20.9,19.7,18.7,17.8,17.7,18.0,17.9,18.1,17.5,17.8,17.1,17.9,18.1,17.1,18.6,18.8,19.1
Marzo,19.7,20.1,20.5,23.3,24.4,24.8,24.6,22.4,20.9,19.6,18.6,17.8,17.7,18.0,17.9,18.0,17.4,17.9,17.0,18.0,18.0,17.2,18.7,18.9,19.1
Abril,19.9,19.7,21.0,23.0,24.5,24.9,22.0,21.7,20.8,19.5,18.5,17.6,17.7,17.8,18.1,17.6,17.4,18.0,17.1,18.0,13.6,17.3,18.8,18.9,19.1
Mayo,19.8,19.6,20.7,23.1,24.5,24.7,22.0,21.8,20.8,19.4,18.5,17.6,17.8,17.8,18.1,17.6,17.4,18.0,17.1,18.0,14.4,17.4,18.8,18.9,19.2
Junio,19.8,19.7,20.4,23.3,24.5,24.8,21.9,21.9,20.6,19.1,18.4,17.6,17.8,17.9,18.1,17.5,17.4,18.0,17.1,18.0,15.2,17.4,18.9,18.8,19.2
