Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,65.2,66.3,68.0,66.5,68.5,71.3,74.1,74.6,73.9,72.1,70.3,71.3,71.4,74.9,78.7,80.0,81.2,81.2,80.2,74.2,80.2,64.6,79.3,87.0,93.6
Agosto,65.5,66.1,66.9,67.0,69.3,71.4,73.9,74.7,74.2,72.0,70.6,70.8,71.7,75.3,78.8,80.0,81.2,80.9,80.4,75.1,80.2,62.9,79.8,87.2,94.7
Septiembre,66.1,66.6,66.3,67.3,69.7,71.5,74.6,73.9,74.4,72.0,70.4,70.7,72.7,75.5,79.0,79.8,81.6,81.1,79.0,75.6,80.3,65.5,80.7,87.9,95.1
Octubre,67.1,67.0,65.2,67.5,71.4,71.8,74.8,74.6,72.7,71.1,71.2,70.9,72.4,76.6,78.9,80.0,81.6,80.9,67.1,74.8,80.6,67.4,81.7,88.5,96.0
Noviembre,67.0,66.8,64.2,67.7,70.8,71.7,75.1,74.5,72.6,71.0,70.9,71.1,73.1,76.8,79.3,79.6,82.3,79.8,70.9,76.0,81.0,68.0,82.2,89.3,96.6
Diciembre,66.3,67.1,64.9,68.6,70.1,72.6,76.3,73.3,72.7,70.7,71.5,71.1,72.7,77.1,79.4,79.9,81.3,80.3,74.2,76.1,81.3,69.4,82.9,91.4,97.2
Enero,65.5,67.5,65.2,67.9,70.6,73.2,73.9,72.3,73.8,70.5,71.1,71.4,72.5,77.4,79.9,80.4,80.6,81.0,72.6,76.7,81.1,70.7,83.7,89.7,97.7
Febrero,64.9,67.5,65.4,67.9,70.7,73.0,75.2,72.5,74.3,70.6,71.3,71.3,72.6,77.7,79.6,81.3,80.3,81.6,73.4,77.6,80.8,71.2,84.3,90.4,98.0
Marzo,65.8,67.5,65.0,68.8,70.9,73.4,75.2,72.6,74.4,70.4,71.9,70.9,73.0,77.9,79.9,81.1,80.3,81.9,74.2,78.0,80.9,72.9,85.0,92.9,98.2
Abril,66.1,66.6,65.7,68.7,69.6,73.5,75.0,72.8,72.4,70.4,71.1,71.5,73.6,78.2,79.8,81.1,80.7,80.6,74.2,79.3,49.1,75.2,85.2,91.2,97.6
Mayo,66.2,67.7,66.9,68.2,70.4,73.9,75.2,72.8,72.5,70.9,71.2,71.4,74.0,78.4,80.0,81.1,80.7,81.1,74.2,79.9,51.9,74.8,85.7,91.8,98.9
Junio,66.5,68.4,65.9,68.3,70.9,74.2,74.5,74.0,72.5,70.6,71.2,71.2,74.5,78.8,79.9,81.2,80.7,81.8,74.3,80.1,59.2,75.6,86.4,92.1,99.9
