Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,78.3,83.8,86.7,88.5,96.7,99.5,103.2,105.3,106.6,108.6,109.5,113.7,117.0,119.9,123.2,122.4,122.6,122.2,120.8,116.5,119.6,109.9,116.3,122.4,123.8
Agosto,78.8,84.4,85.9,88.2,96.7,99.5,101.9,105.2,108.0,109.1,109.7,113.9,116.1,120.9,123.6,122.3,122.3,122.3,120.3,116.0,120.2,110.4,116.6,122.5,123.9
Septiembre,79.8,84.6,86.2,88.8,97.5,99.3,102.5,104.5,108.1,109.9,109.6,113.5,116.7,120.0,123.2,122.8,122.9,122.5,119.0,116.5,120.9,110.3,116.3,122.5,124.2
Octubre,79.6,85.5,86.2,88.7,97.6,99.2,103.6,104.4,108.1,109.6,111.4,113.8,116.8,120.8,123.2,123.2,123.4,122.9,113.2,115.4,120.4,111.3,117.8,122.4,125.2
Noviembre,80.1,85.9,86.5,88.6,97.6,99.6,104.2,104.6,108.2,109.5,111.9,113.5,116.9,121.4,124.0,123.6,123.2,122.4,113.1,116.0,120.0,111.7,118.1,122.6,125.6
Diciembre,80.3,86.1,86.5,89.4,97.6,99.5,104.2,105.0,108.4,110.8,112.0,113.3,117.2,121.6,123.7,123.4,123.6,122.2,114.8,115.1,119.6,112.0,118.5,122.4,125.4
Enero,81.5,83.7,85.9,95.9,98.6,99.9,103.6,105.0,109.8,110.1,111.8,113.8,116.8,123.5,122.4,124.3,122.8,122.2,114.4,118.3,118.4,112.1,119.9,121.9,125.4
Febrero,81.3,84.4,85.6,95.5,99.0,100.3,103.5,105.0,109.9,109.3,112.3,114.5,117.5,123.0,122.8,123.1,122.2,121.6,114.6,118.5,118.9,112.1,119.9,122.3,126.2
Marzo,81.8,84.0,86.4,96.2,98.7,99.8,103.9,105.4,110.1,110.4,111.5,114.5,117.7,122.6,122.9,124.0,122.0,122.3,114.6,119.3,118.9,112.6,120.4,122.4,126.5
Abril,82.0,85.2,86.1,96.1,98.9,100.5,104.4,106.0,109.2,111.1,111.0,115.3,119.1,123.1,122.7,123.7,121.8,122.4,114.8,119.2,107.2,113.5,120.1,122.7,127.2
Mayo,82.2,85.4,87.4,96.0,98.8,100.8,104.1,106.7,108.9,111.1,112.5,114.8,119.4,123.3,122.7,123.4,122.2,122.2,114.9,119.9,107.1,114.1,120.4,123.1,127.2
Junio,82.7,86.0,86.5,96.9,99.8,101.1,104.4,106.9,109.0,110.1,112.5,115.7,120.0,125.0,122.3,122.6,122.1,123.8,115.8,120.1,108.4,114.8,121.8,123.2,126.2
