Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,18.5,20.1,20.9,22.2,27.5,28.5,30.9,29.3,30.3,30.9,32.3,34.5,37.1,37.6,38.5,37.3,36.2,37.0,35.9,35.4,34.1,29.0,30.8,32.7,32.5
Agosto,18.8,20.5,20.5,21.5,27.3,28.7,29.4,29.8,31.4,31.3,32.0,34.7,36.1,38.3,38.5,37.0,36.0,37.2,35.6,34.4,34.3,29.0,31.1,32.2,32.6
Septiembre,19.4,20.3,20.8,22.1,27.7,28.3,29.6,29.8,31.3,31.8,31.7,34.3,36.8,37.7,38.4,37.2,36.5,37.2,35.0,34.8,34.7,28.4,30.5,32.1,32.7
Octubre,19.3,20.4,21.0,21.5,27.7,28.6,29.9,29.7,31.0,31.6,32.8,35.0,37.0,37.2,38.3,37.1,37.1,37.5,33.9,34.1,34.1,28.8,31.3,31.9,33.2
Noviembre,19.3,20.7,21.0,21.7,27.4,28.9,30.3,29.8,30.9,31.5,33.3,34.9,36.8,37.4,38.6,37.2,37.2,37.0,33.8,34.0,34.1,28.7,31.4,32.0,33.2
Diciembre,19.3,20.5,21.1,21.7,27.3,28.7,30.1,29.9,30.7,32.0,33.5,34.4,37.1,37.7,38.7,37.1,37.1,36.7,34.1,33.2,33.9,29.0,31.4,31.9,33.2
Enero,19.7,19.7,21.0,26.9,28.4,28.7,29.6,29.8,31.7,32.1,34.0,34.7,36.3,38.9,37.3,37.7,37.2,36.7,34.8,34.0,33.0,29.1,32.0,32.0,32.7
Febrero,19.8,20.1,21.2,26.8,28.5,29.1,29.4,29.8,31.5,32.0,34.4,35.0,36.9,38.5,37.7,36.3,36.9,36.2,34.7,34.4,33.5,29.0,31.7,32.0,33.9
Marzo,19.9,19.8,21.2,27.0,28.3,28.5,29.7,29.8,31.7,33.0,33.9,34.9,37.3,38.0,37.9,37.0,36.7,37.0,34.6,34.6,33.3,29.1,31.7,32.0,34.3
Abril,19.9,20.5,21.0,27.1,28.3,28.9,29.6,30.1,31.5,32.9,33.3,35.8,37.5,38.2,37.9,36.7,36.6,37.0,34.4,34.4,29.8,29.3,31.3,32.3,34.5
Mayo,19.9,20.7,21.3,26.9,27.8,29.0,29.5,30.6,31.2,32.8,34.6,35.2,37.6,38.4,37.7,36.6,37.0,36.9,34.3,34.6,29.4,29.5,31.4,32.4,34.6
Junio,20.0,20.9,20.6,27.1,28.7,29.2,29.5,30.4,31.2,32.3,34.3,35.9,37.9,39.7,37.3,36.2,36.9,38.0,34.9,34.3,29.3,29.8,32.3,32.4,33.3
