Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,95.8,99.0,98.9,98.2,100.0,103.3,104.3,106.9,110.0,106.6,102.0,104.4,106.2,111.4,113.6,112.6,113.0,114.1,115.3,124.2,122.9,117.0,131.3,140.3,138.6
Agosto,96.1,98.8,96.6,98.5,99.4,103.9,104.9,107.5,110.1,105.9,102.7,104.8,106.0,112.3,115.2,111.9,113.4,114.4,115.5,124.0,124.3,118.2,132.1,140.8,140.2
Septiembre,97.2,98.7,96.2,99.2,100.4,103.8,104.9,107.2,110.5,105.6,101.9,106.4,106.9,111.1,115.7,111.9,113.3,116.1,114.5,123.8,124.5,119.2,134.0,141.8,140.0
Octubre,95.7,98.6,96.4,98.0,101.0,103.7,105.0,108.7,110.1,104.3,102.1,105.2,106.8,111.9,116.5,112.1,112.6,116.9,111.7,124.3,123.8,120.0,134.9,143.4,138.5
Noviembre,95.9,98.2,97.1,97.4,100.7,104.0,105.8,108.6,109.3,103.6,101.9,106.0,107.7,111.6,117.5,112.6,112.4,116.6,117.6,123.9,124.2,120.1,135.8,144.4,139.4
Diciembre,95.0,98.8,96.8,99.9,101.1,105.4,107.5,107.8,107.8,104.0,104.4,105.3,108.5,112.1,117.2,113.8,111.6,116.8,124.7,123.8,123.8,120.0,135.0,145.4,139.4
Enero,97.3,97.3,98.1,96.9,102.3,104.1,106.2,109.5,106.8,102.9,103.4,105.5,110.0,112.8,114.9,112.9,113.4,116.6,119.7,123.2,123.4,123.0,137.8,139.2,141.7
Febrero,97.5,96.9,98.8,97.2,102.8,104.6,107.2,108.6,106.9,102.0,103.5,106.0,109.8,112.6,113.2,113.1,112.9,116.2,122.0,123.1,124.4,123.7,138.1,139.6,140.3
Marzo,97.5,97.0,97.4,98.3,103.4,103.8,107.7,109.0,106.9,101.2,103.2,106.1,110.0,113.4,113.3,113.0,113.5,115.9,121.5,124.2,124.1,124.9,139.6,139.9,140.6
Abril,97.6,97.4,97.0,99.1,103.1,103.4,108.0,110.0,106.2,102.0,102.6,106.5,110.5,113.4,113.3,112.9,114.4,114.5,123.4,123.9,108.5,126.6,138.3,140.1,140.0
Mayo,97.2,97.0,97.3,99.5,104.0,102.8,108.3,110.6,105.7,101.7,102.7,106.1,111.1,113.7,113.7,113.4,114.0,115.0,123.9,124.4,109.5,127.0,138.9,140.8,140.5
Junio,98.8,96.9,97.2,99.8,105.3,102.9,108.5,110.4,106.3,101.3,103.2,105.9,113.2,114.2,113.0,113.1,114.8,115.1,123.9,124.3,111.5,128.7,139.8,140.9,138.1
