Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,45.5,45.6,45.5,44.0,46.0,47.6,49.4,50.2,48.3,49.4,46.7,43.5,43.8,44.3,43.5,42.5,41.9,42.2,42.4,41.7,43.4,43.0,44.0,46.8,47.5
Agosto,45.3,45.5,44.6,43.8,46.0,47.7,49.1,49.9,48.4,49.4,46.2,43.4,43.8,44.3,43.6,42.4,41.6,42.2,42.1,41.9,43.3,43.1,44.1,46.5,47.3
Septiembre,45.8,45.7,44.7,43.8,46.0,47.9,49.4,49.7,48.2,49.5,46.2,43.4,44.2,44.5,43.3,42.5,41.7,42.7,41.9,42.3,43.9,43.4,44.5,46.8,47.4
Octubre,46.1,45.5,45.9,43.7,46.7,48.7,49.6,49.6,48.2,49.1,46.1,43.8,44.3,44.8,43.5,43.1,42.1,42.8,41.5,42.9,44.4,44.0,45.4,47.8,47.7
Noviembre,46.4,45.9,45.9,43.7,46.9,48.8,49.8,49.6,48.2,49.2,46.3,44.0,44.3,45.2,43.6,42.9,42.3,43.1,41.8,43.7,45.0,44.4,46.1,48.2,47.9
Diciembre,47.3,46.6,46.7,44.8,47.9,50.2,50.5,50.0,48.2,50.1,47.0,44.9,45.2,45.5,44.4,44.3,43.0,43.5,42.4,44.2,45.6,44.9,46.6,49.7,47.7
Enero,44.6,44.3,44.5,44.5,46.1,48.2,49.7,48.5,48.0,47.8,45.5,43.3,44.4,44.2,43.4,42.0,42.4,42.4,41.1,43.4,44.9,43.4,46.5,47.0,47.6
Febrero,44.3,44.6,45.0,44.7,46.3,48.4,49.9,48.3,48.2,47.7,45.6,43.7,44.5,43.9,43.4,41.9,42.4,42.4,41.0,43.4,45.0,43.7,46.5,47.1,48.1
Marzo,44.6,44.8,45.4,45.1,46.7,48.7,50.0,48.4,48.2,47.3,45.5,43.7,44.7,44.0,43.4,42.1,42.5,42.5,41.3,43.9,45.2,43.8,47.0,47.5,48.1
Abril,45.6,44.9,43.4,45.9,47.5,48.9,49.9,48.2,49.2,47.3,45.3,43.7,44.3,43.9,43.1,42.3,42.2,42.3,41.3,43.0,42.3,43.6,46.3,46.8,48.1
Mayo,45.7,44.9,43.9,45.9,47.8,49.1,50.0,48.5,49.3,47.5,44.7,43.8,44.6,43.9,43.0,42.1,42.1,42.3,41.7,43.0,42.3,43.6,46.4,46.8,48.0
Junio,45.8,46.2,44.0,46.2,48.3,49.4,49.9,48.4,49.4,47.6,44.9,43.6,44.7,44.0,43.1,42.2,42.3,42.5,42.1,43.4,42.6,44.0,46.7,47.2,48.0
