Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,177.0,182.0,184.6,176.2,175.7,182.4,186.0,182.3,178.9,177.0,169.6,171.4,171.4,172.2,172.8,172.5,171.0,171.1,169.9,167.8,170.7,162.3,177.5,181.2,184.7
Agosto,178.2,183.2,181.2,175.8,176.9,182.7,186.2,181.7,178.7,176.5,170.3,171.4,171.5,173.5,173.5,172.7,170.7,171.2,169.8,168.6,171.1,162.6,176.7,181.1,184.8
Septiembre,179.1,183.5,181.3,175.7,177.5,182.5,186.6,181.7,179.6,176.7,170.5,171.3,171.5,173.5,173.8,172.6,170.8,171.4,167.8,168.9,172.1,164.7,180.6,183.3,186.2
Octubre,182.3,188.5,179.4,178.3,180.6,186.5,187.1,182.9,179.0,176.1,172.2,172.7,172.7,175.8,176.3,173.9,172.1,173.6,156.8,170.9,174.2,169.9,181.2,185.3,187.8
Noviembre,186.3,192.3,182.5,181.7,184.8,191.4,193.0,188.9,185.5,179.6,176.7,178.5,178.9,182.3,182.6,178.9,177.5,178.2,160.0,177.2,178.0,173.5,185.2,189.0,190.2
Diciembre,195.8,202.0,191.9,191.8,196.9,203.4,204.0,196.9,193.8,190.2,185.5,188.1,186.9,189.1,190.1,186.0,185.3,185.5,169.3,182.0,183.5,179.0,191.7,197.0,193.1
Enero,184.3,187.6,181.2,181.7,183.3,188.2,190.6,184.7,184.0,177.8,175.5,176.2,176.0,177.7,178.0,174.6,175.1,174.7,162.2,175.2,174.1,169.5,182.3,184.4,190.1
Febrero,181.4,185.2,178.1,179.0,181.2,184.8,187.2,181.2,180.5,173.7,172.3,172.8,172.1,175.2,175.1,171.8,172.3,172.3,161.3,173.0,171.9,168.2,181.6,182.9,188.3
Marzo,182.0,184.5,177.6,180.2,181.3,185.0,187.9,182.1,180.1,173.1,172.5,173.3,172.1,175.9,175.4,172.6,173.2,173.3,162.9,173.9,171.6,170.8,183.0,185.0,188.5
Abril,183.0,183.7,176.3,176.8,181.6,186.4,185.6,180.6,178.2,171.8,171.7,171.9,172.0,174.9,174.5,172.2,172.4,171.4,163.8,172.4,138.9,171.0,180.9,183.9,187.8
Mayo,185.2,185.7,179.0,179.0,183.7,188.1,186.2,182.5,178.8,172.9,172.4,172.8,173.7,175.8,174.6,172.9,172.6,172.2,165.9,172.6,143.7,172.7,181.0,184.3,188.5
Junio,184.7,186.0,177.6,180.5,184.7,188.9,185.0,182.6,179.0,171.9,172.4,172.5,173.2,175.9,174.8,172.5,173.0,172.5,168.4,172.9,156.2,176.7,183.7,186.6,188.6
