Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,032.6","1,046.4","1,006.1","1,002.0","1,017.3","1,049.4","1,040.2","1,035.4","1,035.1","1,001.3",950.3,917.9,914.1,927.0,902.4,885.4,881.1,876.3,857.8,852.0,864.8,808.5,872.7,907.8,924.1
Agosto,995.9,"1,011.1",993.2,991.6,"1,012.2","1,039.0","1,034.3","1,026.8","1,017.0",996.2,934.8,912.4,906.3,927.6,908.2,891.8,884.7,880.0,862.1,857.6,868.1,819.8,875.5,915.1,933.0
Septiembre,"1,005.3","1,014.2",998.2,999.6,"1,022.0","1,045.6","1,043.5","1,030.9","1,025.1","1,007.4",939.3,918.3,916.3,937.7,913.1,899.6,894.2,892.1,863.3,865.6,881.0,836.2,892.7,928.8,945.8
Octubre,"1,001.1","1,023.3",996.9,"1,002.8","1,030.6","1,056.6","1,050.2","1,036.2","1,024.2","1,004.6",945.3,922.3,924.4,945.0,922.0,909.1,901.5,899.4,828.7,869.6,885.9,846.8,906.7,939.3,952.7
Noviembre,"1,011.6","1,030.6","1,002.4","1,007.7","1,038.4","1,063.6","1,066.5","1,052.7","1,034.9","1,011.5",951.4,931.8,943.0,957.0,934.5,920.2,907.0,904.9,850.9,883.8,896.1,858.5,917.9,951.4,959.7
Diciembre,"1,036.1","1,054.7","1,033.6","1,043.8","1,075.8","1,100.8","1,095.6","1,068.3","1,059.6","1,047.8",979.3,958.1,964.0,980.1,960.1,945.5,931.9,927.2,890.0,900.4,913.6,878.2,939.9,979.1,965.2
Enero,996.6,"1,005.4",996.0,"1,002.6","1,028.7","1,039.5","1,042.8","1,024.6","1,010.0",982.1,934.0,913.5,925.6,927.4,908.7,898.8,887.9,881.2,842.1,867.9,873.1,844.9,906.3,926.2,952.5
Febrero,"1,005.9","1,011.1","1,000.9","1,010.6","1,031.4","1,044.2","1,048.0","1,025.8","1,013.3",979.3,935.8,917.3,927.1,928.2,911.5,902.1,888.9,881.3,848.3,871.5,878.0,848.6,910.5,930.1,957.7
Marzo,"1,012.2","1,014.2","1,001.4","1,019.5","1,037.3","1,048.4","1,054.1","1,031.5","1,017.9",980.0,946.4,921.2,932.9,932.5,915.9,908.7,894.4,887.0,855.8,880.4,887.1,860.9,922.1,941.2,958.6
Abril,"1,019.3","1,011.6","1,001.0","1,016.3","1,036.2","1,049.5","1,045.7","1,029.3","1,012.7",977.6,931.8,923.7,939.0,928.0,912.3,907.1,893.1,883.3,859.4,877.2,765.6,864.3,913.1,936.4,958.6
Mayo,"1,025.5","1,013.2","1,004.5","1,020.2","1,042.1","1,050.9","1,046.4","1,033.9","1,012.4",978.6,936.5,922.2,938.8,929.0,914.1,903.0,894.0,884.5,863.3,878.5,771.8,862.4,912.2,934.6,958.7
Junio,"1,063.6","1,017.5","1,008.3","1,024.2","1,063.5","1,051.8","1,047.0","1,038.2","1,028.7",986.0,934.3,924.2,943.8,926.2,904.0,895.2,889.8,880.2,864.4,880.5,799.1,870.5,917.8,933.0,949.9
