Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,245.9,249.1,208.7,232.9,233.8,241.3,228.6,230.3,236.1,214.5,200.1,183.9,183.4,180.2,168.7,158.9,155.6,153.4,144.4,138.3,133.1,121.8,125.1,120.3,120.8
Agosto,208.7,208.3,205.4,218.6,223.2,224.7,220.7,219.5,212.7,212.5,199.3,183.1,178.3,177.3,170.4,162.8,160.7,154.9,146.7,137.9,132.7,124.6,126.3,126.5,126.6
Septiembre,211.0,206.3,207.7,221.2,226.0,227.9,222.5,220.7,214.7,216.2,200.7,184.5,180.5,182.9,170.3,164.0,161.9,157.0,147.5,138.7,136.7,126.5,127.1,127.9,128.8
Octubre,207.2,207.8,209.1,224.0,225.8,231.4,225.4,220.4,215.2,217.4,201.8,185.5,183.1,183.3,169.5,165.0,162.6,158.4,147.9,139.6,134.4,127.5,128.9,128.7,129.6
Noviembre,209.5,207.8,210.9,224.2,227.0,231.5,231.2,226.0,216.7,220.9,201.7,186.4,190.1,184.7,169.1,166.3,160.9,156.6,148.4,139.7,135.6,131.9,129.4,130.4,130.4
Diciembre,214.9,207.2,215.3,230.9,233.0,234.4,227.9,219.2,220.5,224.8,199.1,185.1,185.1,184.8,171.7,165.4,161.6,156.9,148.2,140.6,134.3,130.0,130.0,130.8,129.8
Enero,209.4,207.7,217.7,224.3,228.6,225.3,223.9,219.3,214.5,218.1,199.0,184.1,183.6,177.4,166.9,163.6,158.6,152.1,145.2,137.1,132.0,129.9,127.0,129.7,129.1
Febrero,211.4,209.5,220.6,227.2,225.7,226.2,224.4,219.2,215.4,218.2,197.0,185.2,183.1,179.2,169.5,165.5,159.4,152.1,144.8,137.0,132.7,130.4,127.9,130.3,130.2
Marzo,211.7,210.3,220.7,226.0,225.2,226.0,224.7,219.3,215.8,219.1,199.1,185.5,184.3,179.1,169.2,166.1,159.4,152.0,144.7,137.4,132.3,130.7,129.0,130.4,129.8
Abril,211.2,210.5,221.8,227.9,226.3,229.0,224.7,219.2,215.8,217.9,195.4,186.6,187.6,177.7,169.4,165.7,158.8,153.7,144.8,137.7,132.0,131.0,127.8,130.5,129.2
Mayo,212.9,209.5,222.2,228.1,227.5,229.2,223.4,219.2,215.4,219.5,191.4,186.3,184.4,177.6,169.4,162.4,159.6,153.4,144.3,137.4,128.6,128.3,126.7,128.5,127.2
Junio,251.3,210.0,232.9,229.1,245.4,231.4,229.1,226.6,228.0,222.5,189.4,187.6,185.3,173.5,164.7,157.4,154.9,148.3,141.6,136.3,124.5,126.4,122.7,120.5,120.6
