Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,52.7,50.5,58.0,55.3,59.6,61.8,62.6,60.2,62.2,70.1,76.4,64.0,63.9,64.4,57.1,54.8,56.2,56.4,50.7,48.5,50.8,49.3,48.8,49.3,52.0
Agosto,50.9,52.8,58.7,56.0,58.2,63.0,62.1,60.2,62.6,65.4,59.8,59.1,58.7,60.8,55.3,54.4,54.2,55.8,50.7,49.1,49.6,49.4,48.6,49.2,51.3
Septiembre,51.3,53.8,58.2,56.6,58.5,63.0,62.7,61.4,62.9,68.3,60.0,59.4,58.4,63.3,54.9,54.3,54.3,56.6,51.2,49.1,50.1,50.0,49.2,49.8,51.9
Octubre,51.5,54.1,58.3,56.0,58.2,63.7,62.3,62.2,63.4,68.8,60.4,58.6,58.1,62.3,55.1,54.6,54.6,56.1,51.0,48.7,49.7,50.2,49.7,50.3,52.1
Noviembre,51.5,54.1,57.8,56.3,58.8,63.7,62.3,62.5,63.5,68.4,60.0,58.3,58.4,61.9,55.1,54.8,54.8,56.1,52.4,49.9,50.0,50.1,50.1,50.5,52.6
Diciembre,50.9,53.8,59.6,56.6,59.6,63.8,62.5,63.0,63.7,68.2,60.9,60.0,59.3,61.9,55.1,55.6,55.3,56.4,53.3,49.3,50.5,50.2,50.7,51.1,52.9
Enero,50.3,58.0,58.5,55.4,58.4,62.2,61.3,60.8,62.5,62.8,59.2,57.7,58.6,58.4,54.3,54.4,54.1,54.1,49.6,48.9,49.2,48.7,47.9,49.2,52.5
Febrero,50.4,58.1,58.3,56.0,58.7,62.8,61.5,61.5,63.4,62.7,59.9,58.1,59.1,57.8,55.1,54.7,54.8,54.3,49.2,49.0,49.4,48.6,48.0,49.2,53.2
Marzo,50.6,59.1,59.1,56.3,59.8,63.6,62.1,62.2,64.6,63.3,60.7,58.3,59.4,58.0,54.8,54.8,54.7,54.5,49.3,49.4,49.6,49.3,48.6,49.7,53.6
Abril,49.8,58.3,60.6,56.3,60.2,63.3,62.2,62.5,65.5,63.1,59.6,58.7,59.4,58.1,55.0,54.6,55.1,54.3,50.2,49.5,48.7,48.2,48.2,50.1,53.8
Mayo,50.2,57.6,55.3,56.9,60.5,63.0,62.1,63.1,66.2,65.1,60.0,59.0,59.5,57.8,55.1,55.1,55.1,54.2,50.2,49.4,48.5,48.3,48.2,50.0,54.1
Junio,50.4,58.3,55.1,58.4,61.1,63.3,61.9,63.3,73.8,79.0,68.2,65.4,66.0,61.4,55.7,57.9,57.9,54.4,51.2,51.9,49.0,48.6,48.9,50.7,54.3
