Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,314.3,315.2,281.2,302.7,308.9,318.1,305.9,305.6,313.1,299.3,290.8,266.0,261.8,258.6,239.7,227.4,226.0,224.1,209.5,203.2,200.2,188.5,191.6,188.1,192.5
Agosto,275.0,276.6,278.6,289.0,296.8,302.6,297.4,294.2,290.1,292.5,273.4,258.1,251.4,252.4,239.5,230.9,229.0,225.0,211.8,203.3,198.5,197.6,192.9,194.5,197.6
Septiembre,277.7,275.6,280.4,292.2,299.8,305.9,300.1,296.5,292.6,299.4,275.1,258.5,253.6,260.6,238.9,232.1,230.2,228.0,213.3,204.3,203.1,200.1,194.4,196.6,200.8
Octubre,274.0,277.4,282.2,294.7,298.9,310.2,302.9,297.0,293.6,301.2,277.1,258.7,256.0,260.1,238.5,233.4,231.3,228.9,213.4,204.9,200.3,196.5,196.5,198.0,202.0
Noviembre,276.3,277.8,283.2,295.2,300.6,310.4,308.6,303.1,295.2,304.1,276.3,259.2,263.3,261.1,238.2,235.2,229.9,227.4,216.6,206.3,202.0,199.8,197.9,200.6,203.3
Diciembre,281.3,277.0,289.5,302.3,307.6,313.3,305.5,296.9,299.6,307.8,274.5,259.5,259.0,261.3,240.8,235.2,231.5,228.1,217.7,206.5,201.2,198.1,199.2,201.7,203.0
Enero,275.1,280.0,290.8,295.7,302.5,302.4,300.0,294.7,291.8,296.1,273.0,256.4,256.7,250.0,235.0,232.1,227.0,220.9,210.7,202.4,197.8,196.3,193.5,198.6,201.8
Febrero,280.9,281.8,293.2,299.1,299.7,303.9,300.6,295.2,293.3,295.7,272.6,258.0,256.6,251.2,238.3,234.5,228.6,221.1,209.8,202.5,199.0,196.5,194.3,199.3,203.8
Marzo,281.8,283.7,294.1,298.1,300.2,304.2,301.5,296.2,294.8,297.3,281.9,258.4,258.0,251.2,237.8,235.1,228.5,221.0,209.8,203.1,204.4,197.4,195.8,199.8,203.8
Abril,284.7,283.0,296.7,300.0,301.6,306.9,301.4,296.4,296.0,298.3,271.5,260.0,261.3,249.9,238.3,234.6,228.3,222.6,211.3,203.6,203.5,196.6,194.4,200.4,203.5
Mayo,287.2,281.6,291.8,300.6,302.9,306.8,300.2,297.0,296.3,300.6,275.2,260.0,258.1,249.5,238.4,231.6,229.1,222.1,210.9,203.0,195.5,193.9,193.4,198.2,201.7
Junio,325.3,283.0,302.4,303.0,321.4,309.2,305.8,304.7,316.5,316.0,276.9,267.5,265.3,248.9,234.2,229.4,227.2,217.2,209.4,204.5,194.3,192.4,189.9,191.0,195.3
