Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,21.2,20.5,22.3,21.8,21.1,22.7,22.3,22.7,22.0,20.5,19.1,19.4,18.2,19.4,19.0,19.0,19.2,17.4,18.2,17.5,16.2,14.4,16.0,15.8,14.1
Agosto,21.4,20.5,22.4,21.9,21.2,23.1,22.3,22.1,21.8,20.4,19.0,20.0,18.3,19.7,19.0,19.5,19.0,17.4,18.3,17.5,16.3,14.3,15.8,15.6,13.9
Septiembre,21.2,20.6,22.7,21.9,21.5,23.0,22.4,22.3,21.7,20.3,18.9,19.0,18.3,19.2,18.9,19.6,19.8,17.5,18.3,17.5,16.3,14.4,15.8,15.7,14.1
Octubre,21.7,21.1,22.8,22.1,21.8,22.9,22.6,22.6,21.8,20.5,19.0,18.6,18.8,18.9,19.4,19.6,19.3,17.0,17.0,15.8,18.5,15.1,16.5,14.8,13.9
Noviembre,21.7,20.8,23.1,22.0,22.0,23.1,22.6,23.2,21.9,20.4,19.2,18.6,19.1,19.3,19.7,20.7,18.4,17.3,16.8,16.2,18.8,14.8,16.5,14.7,13.7
Diciembre,21.7,20.9,23.7,22.3,22.5,23.3,22.9,23.4,21.9,20.8,19.3,18.9,19.2,19.8,20.0,21.2,18.9,17.4,17.0,16.5,18.9,14.9,16.9,14.8,13.9
Enero,20.6,20.2,21.8,20.9,21.5,22.2,22.6,22.6,21.2,20.0,18.6,18.3,18.1,18.8,20.8,20.0,18.8,17.5,16.7,16.5,18.6,14.8,16.5,15.6,13.7
Febrero,20.5,20.1,21.7,21.0,21.4,21.9,22.6,22.4,20.9,20.8,18.5,18.2,18.3,18.5,20.9,19.9,18.7,17.4,16.6,16.5,18.6,14.8,16.4,15.4,13.7
Marzo,20.7,20.1,21.7,21.1,21.5,22.0,22.8,22.6,20.9,19.9,18.3,18.1,18.7,18.6,20.8,20.3,18.4,17.5,16.8,16.4,18.8,14.6,16.5,15.3,13.8
Abril,20.9,21.1,22.6,21.5,22.8,22.2,22.8,22.9,21.1,19.9,18.5,19.0,19.6,19.2,19.2,21.3,17.7,17.9,16.5,16.0,14.9,15.6,16.8,15.7,13.9
Mayo,20.8,21.4,22.6,21.4,22.8,22.3,22.9,22.6,21.1,19.6,18.5,18.4,18.7,19.2,19.3,19.0,17.5,17.9,16.4,16.0,14.8,15.4,16.6,15.7,13.8
Junio,20.9,22.0,22.4,21.5,22.9,22.6,23.3,22.3,21.0,19.5,18.5,18.3,18.5,19.3,19.2,19.4,17.6,17.9,16.3,16.2,14.9,15.4,16.7,15.7,14.0
