Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,n/d,n/d,73.2,68.1,67.0,68.3,63.8,65.0,62.0,54.6,40.3,32.1,32.1,36.7,28.8,27.0,24.6,22.9,20.9,27.1,26.7,26.4,29.1,32.8,34.5
Agosto,n/d,n/d,71.5,68.7,68.3,68.4,64.2,65.0,62.1,54.1,38.9,31.7,32.4,36.4,28.9,26.8,24.0,22.8,20.9,27.8,27.2,26.5,29.1,32.7,34.7
Septiembre,n/d,n/d,73.5,69.7,68.9,68.8,64.9,64.9,62.5,53.3,38.1,31.6,32.9,36.3,28.8,27.1,24.2,23.0,21.0,27.8,27.4,27.7,30.4,34.0,35.8
Octubre,n/d,n/d,73.3,70.2,69.9,69.8,64.4,65.0,62.3,52.4,37.4,32.0,34.1,35.7,28.8,27.6,24.7,23.3,20.7,27.5,27.6,28.1,31.6,34.3,36.4
Noviembre,n/d,n/d,72.9,69.5,69.7,69.2,65.4,65.5,62.5,52.1,36.9,32.4,34.9,35.5,28.5,28.0,24.7,23.4,23.0,27.2,27.8,28.2,31.9,34.7,36.4
Diciembre,n/d,n/d,78.1,72.5,75.4,75.4,70.2,68.8,64.3,57.0,41.3,36.3,38.1,38.9,32.1,30.5,27.3,24.9,26.3,28.7,29.8,30.8,34.0,37.4,36.6
Enero,n/d,72.0,70.5,64.7,67.3,65.2,65.0,63.0,56.0,46.6,34.0,30.7,34.1,32.5,26.9,25.8,22.6,21.1,23.2,26.3,27.2,27.6,31.3,33.5,35.5
Febrero,n/d,73.9,72.2,67.0,69.2,67.2,66.7,64.4,57.1,46.2,34.5,31.3,34.9,32.0,26.9,25.9,22.6,21.0,23.5,26.4,27.6,27.9,31.6,33.9,36.0
Marzo,n/d,74.7,71.2,68.6,70.0,67.9,67.4,64.4,57.3,45.7,34.3,31.6,35.7,32.0,27.7,26.4,23.2,21.1,24.9,27.2,28.0,29.1,33.0,35.2,36.3
Abril,n/d,73.3,69.2,66.8,68.1,66.5,66.0,63.5,56.8,43.3,33.4,31.6,36.6,29.7,27.2,25.4,23.0,20.9,25.9,26.8,20.4,28.5,32.1,34.7,36.4
Mayo,n/d,73.7,70.1,67.8,68.4,66.2,66.6,63.9,56.8,42.1,33.4,31.4,37.1,29.3,27.3,25.5,23.1,20.8,26.5,26.9,22.7,28.3,32.3,34.7,36.7
Junio,n/d,75.7,70.0,68.7,69.4,65.9,66.7,63.0,56.4,41.5,33.3,31.7,37.8,29.6,27.9,25.6,23.5,21.4,27.8,27.7,25.7,29.5,33.5,35.6,37.3
