Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,19.9,19.4,19.8,20.7,22.6,24.5,24.4,21.3,21.4,20.7,19.0,18.1,17.4,17.6,17.6,17.7,17.2,17.4,17.7,17.2,18.0,16.2,17.6,18.6,18.7
Agosto,19.8,19.6,19.5,20.5,22.7,24.7,24.6,21.4,21.5,20.6,19.0,18.1,17.4,17.6,17.7,17.7,17.2,17.4,17.8,17.3,18.0,16.4,17.6,18.5,18.8
Septiembre,20.0,19.7,19.3,20.7,22.7,24.8,24.6,21.9,21.7,20.8,18.9,18.2,17.5,17.8,18.0,17.8,17.3,17.6,17.6,17.4,18.2,16.6,18.0,18.8,18.9
Octubre,19.8,20.0,19.1,20.5,23.2,24.8,24.8,21.8,21.6,20.7,18.9,18.1,17.6,18.0,18.0,18.0,17.4,17.7,16.5,17.3,18.1,16.8,18.2,18.8,18.7
Noviembre,19.8,20.0,19.2,20.5,23.3,24.7,24.7,21.9,21.5,20.4,19.0,18.1,17.7,18.1,18.1,18.0,17.5,17.8,16.8,17.5,18.1,16.9,18.4,18.9,19.0
Diciembre,20.3,20.6,19.5,20.8,23.7,25.7,25.6,22.6,22.3,21.5,19.2,18.6,18.1,18.7,18.5,18.5,18.1,18.1,17.6,17.8,18.5,17.3,18.8,19.5,19.1
Enero,19.3,19.8,20.6,23.1,23.9,24.4,24.5,22.0,20.8,19.6,18.5,17.6,17.3,17.6,17.5,17.8,17.2,17.5,16.8,17.7,17.9,16.9,18.4,18.8,19.0
Febrero,19.3,20.0,20.5,23.1,24.1,24.6,24.5,22.0,20.8,19.6,18.6,17.7,17.5,17.8,17.8,17.9,17.3,17.6,16.9,17.8,18.0,17.0,18.5,18.7,19.1
Marzo,19.6,20.0,20.5,23.3,24.4,24.8,24.6,22.4,20.9,19.6,18.6,17.8,17.7,18.0,17.9,18.0,17.4,17.8,17.0,18.0,18.0,17.2,18.7,18.9,19.1
Abril,19.9,19.7,20.9,22.9,24.5,24.9,21.9,21.6,20.7,19.4,18.4,17.5,17.6,17.8,18.1,17.6,17.5,18.0,17.1,18.0,13.6,17.3,18.8,18.9,19.1
Mayo,19.9,19.7,20.8,23.2,24.6,24.8,22.0,21.8,20.7,19.3,18.4,17.5,17.7,17.8,18.1,17.7,17.5,18.1,17.2,18.1,14.4,17.4,18.8,18.9,19.1
Junio,20.1,20.0,20.6,23.5,24.7,25.0,22.0,22.0,20.7,19.2,18.5,17.8,18.0,18.1,18.3,17.7,17.6,18.1,17.2,18.1,15.3,17.5,19.0,18.9,19.2
