Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,65.2,66.3,68.0,66.5,68.3,71.1,73.8,74.1,73.3,71.4,70.0,71.0,70.6,74.2,78.0,79.4,81.1,80.7,80.2,74.0,80.1,64.6,79.4,87.2,93.9
Agosto,65.5,66.1,67.2,67.3,69.7,71.5,74.0,74.8,74.0,71.7,70.4,70.4,71.2,74.7,78.3,79.5,80.9,80.8,80.3,75.2,80.2,62.8,79.6,87.0,94.5
Septiembre,65.6,66.2,66.2,67.3,69.7,71.1,74.2,73.5,73.8,71.4,69.9,70.5,72.0,75.0,78.6,79.4,81.2,80.7,79.0,75.8,80.3,65.7,81.0,88.2,95.5
Octubre,65.7,65.7,64.0,66.4,70.4,70.8,73.8,73.8,72.0,69.8,69.9,70.4,71.7,76.0,78.5,79.4,81.0,80.1,66.8,74.6,80.3,67.3,81.8,88.7,96.3
Noviembre,66.7,66.7,64.1,67.6,70.6,71.5,74.9,74.9,73.0,70.5,70.4,70.9,72.8,77.1,79.6,79.7,82.3,79.9,70.7,76.4,81.3,68.3,82.6,89.7,96.8
Diciembre,67.8,68.7,66.6,70.4,72.1,74.5,78.2,76.1,75.4,73.4,74.2,73.5,75.1,79.8,81.8,82.0,83.3,82.3,76.1,78.2,83.1,71.3,84.8,93.3,97.5
Enero,64.3,66.3,64.1,67.1,69.9,72.2,73.5,71.9,73.4,69.6,70.5,70.9,72.1,76.9,79.4,79.9,80.1,80.3,71.9,76.0,80.3,69.8,82.7,88.7,97.7
Febrero,64.5,66.8,64.6,67.4,70.2,72.5,74.4,71.8,73.7,70.2,71.1,71.0,72.1,77.0,79.1,80.7,79.7,80.7,72.9,77.0,80.2,70.5,83.6,89.7,98.1
Marzo,65.6,67.2,64.8,68.7,70.9,73.5,75.2,72.6,74.4,70.4,71.9,71.0,73.0,77.9,80.0,81.3,80.5,81.6,74.3,77.8,80.5,72.4,84.5,92.4,98.5
Abril,66.7,67.2,66.2,69.1,70.1,73.9,75.0,72.8,72.5,70.5,71.4,71.7,73.8,78.1,79.9,81.3,80.8,80.7,73.4,79.0,48.8,74.9,84.8,90.8,97.2
Mayo,66.9,68.3,67.3,68.5,70.6,74.0,75.3,73.0,72.6,71.1,71.4,71.6,74.1,78.4,80.2,81.3,80.8,81.2,74.0,79.8,51.6,74.3,85.0,91.0,97.7
Junio,66.8,68.7,66.3,68.7,71.3,74.5,74.9,74.4,73.2,71.2,71.7,71.6,74.8,79.1,80.1,81.3,81.1,82.3,74.6,80.6,59.7,76.1,86.9,92.6,100.1
