Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,75.8,80.8,83.6,85.1,92.4,95.2,97.8,99.8,100.7,102.3,103.6,107.3,110.3,113.1,116.1,115.1,114.8,115.0,114.2,110.0,113.2,104.0,110.6,116.9,118.4
Agosto,77.4,82.8,84.6,86.6,94.7,96.9,99.2,102.3,105.2,106.3,106.2,109.7,112.0,117.4,119.8,118.1,117.5,117.6,116.3,112.0,116.3,106.7,113.1,119.1,120.7
Septiembre,80.1,85.0,86.7,89.3,98.1,100.1,103.2,105.2,108.6,110.5,110.3,113.3,116.4,119.9,123.1,122.6,122.8,122.8,119.6,116.7,121.2,110.5,116.5,122.7,124.6
Octubre,80.5,86.5,87.3,89.7,98.7,100.6,105.0,105.8,109.6,110.8,112.8,115.2,118.3,122.3,124.8,125.1,125.8,124.4,114.6,117.5,122.2,113.5,120.3,125.0,125.9
Noviembre,81.0,87.1,87.7,89.9,99.1,101.2,105.8,106.4,110.1,111.4,114.1,115.8,119.4,124.1,127.0,126.8,126.3,125.5,116.0,119.2,123.2,115.0,121.7,126.4,127.1
Diciembre,82.7,88.8,89.6,92.7,101.8,104.1,109.2,110.1,113.8,116.4,117.9,119.3,123.2,127.7,130.0,129.7,129.6,128.9,120.8,121.3,126.0,118.4,125.0,129.1,127.8
Enero,79.4,81.5,83.6,93.2,95.8,96.9,100.6,102.0,106.6,107.2,108.5,110.4,113.6,120.3,119.1,120.8,118.8,119.0,110.9,114.6,115.0,109.1,117.0,119.0,122.7
Febrero,80.9,84.1,85.4,95.2,98.7,100.0,103.3,104.7,109.5,109.2,112.4,114.4,117.6,122.9,122.6,123.0,121.9,121.1,114.2,118.4,118.6,111.7,119.1,121.4,125.9
Marzo,82.6,84.8,87.3,97.3,99.8,101.0,105.3,106.9,111.8,111.9,113.3,116.2,119.4,124.3,124.6,125.8,123.7,123.7,116.0,121.0,120.2,113.6,121.1,123.0,126.9
Abril,83.3,86.4,87.2,97.4,100.2,101.9,106.2,107.9,111.3,113.1,113.4,117.8,121.6,125.5,125.2,125.8,124.0,124.1,116.5,120.7,108.5,114.5,120.8,123.3,128.2
Mayo,83.4,86.7,88.7,97.7,100.5,102.7,106.0,108.7,111.0,113.3,115.0,117.4,122.3,126.3,125.9,126.2,124.7,124.4,117.1,121.7,108.5,115.1,121.0,123.7,128.4
Junio,81.2,84.4,84.8,94.8,97.5,99.0,102.2,104.5,106.2,107.5,109.8,113.1,117.3,122.1,119.6,120.1,119.7,121.5,113.4,117.8,106.0,112.3,119.2,120.6,125.4
