Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,95.1,98.2,98.1,97.4,99.1,102.5,103.1,105.7,108.8,105.6,101.3,103.6,105.0,109.9,111.8,110.6,111.6,112.2,113.6,122.0,121.4,115.6,129.9,138.9,137.1
Agosto,95.5,98.3,96.1,98.0,98.9,103.4,104.4,106.9,109.3,105.0,101.8,103.8,104.8,110.7,113.3,109.8,111.0,112.4,113.7,122.2,122.4,116.2,129.9,138.5,137.8
Septiembre,96.7,98.3,95.9,98.9,100.1,103.4,104.6,106.9,110.3,105.4,101.7,106.0,106.2,110.2,114.6,110.8,111.9,114.8,113.3,122.5,123.1,117.7,132.4,140.1,138.2
Octubre,95.5,98.5,96.4,98.0,101.0,104.0,105.5,109.3,110.7,104.8,102.6,106.0,107.8,113.1,117.9,113.2,113.7,117.9,112.7,125.2,124.6,120.8,135.8,144.3,139.7
Noviembre,96.2,99.1,97.8,98.0,100.6,104.1,106.2,110.1,111.1,104.6,103.1,107.3,109.1,114.1,120.1,114.2,113.9,118.4,119.3,126.0,125.7,121.6,137.3,145.9,140.8
Diciembre,98.8,102.9,100.8,104.1,105.5,109.8,112.3,113.1,113.4,109.5,110.1,110.9,114.3,118.5,124.0,120.5,118.9,123.2,130.9,130.1,129.7,125.8,140.7,151.0,141.8
Enero,96.7,96.7,97.3,95.6,100.8,102.9,104.9,108.2,105.6,101.4,102.0,104.7,109.3,112.2,113.8,111.6,112.4,115.4,118.7,122.2,122.6,122.4,137.5,139.1,140.2
Febrero,97.1,97.1,98.9,96.6,102.2,104.0,107.3,108.6,106.8,101.2,102.7,105.2,109.7,112.6,112.3,112.1,112.1,115.3,121.9,122.5,123.9,123.4,137.9,139.5,140.3
Marzo,97.6,97.1,97.6,98.7,103.9,104.3,108.1,109.2,107.0,101.2,103.1,106.0,109.8,113.1,113.0,112.5,113.3,115.8,121.8,124.4,124.4,125.3,140.1,140.4,140.8
Abril,96.7,96.5,96.2,98.2,102.4,102.6,107.0,109.0,105.2,101.1,101.7,105.6,109.4,112.4,112.4,112.3,113.9,114.0,122.7,123.3,107.8,125.8,137.4,139.2,139.5
Mayo,96.6,96.4,96.8,98.9,103.3,101.9,107.1,109.2,104.3,100.1,101.1,104.6,109.7,112.6,112.7,112.4,113.1,114.0,122.4,123.0,108.0,125.3,137.1,139.0,140.2
Junio,98.5,96.6,97.0,99.6,105.0,102.3,107.7,109.4,105.3,100.2,101.9,104.4,111.6,113.0,112.0,112.2,114.2,114.7,123.5,124.1,111.3,128.6,139.7,140.9,137.4
