Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,7.3,7.3,6.9,6.1,6.1,6.5,5.8,5.4,5.4,5.1,4.3,3.7,3.4,3.5,3.4,3.3,3.2,2.9,2.9,2.8
Agosto,7.4,7.4,6.7,6.2,6.1,6.6,5.8,5.5,5.5,5.1,4.3,3.6,3.5,3.5,3.4,3.3,3.2,3.0,2.9,
Septiembre,7.4,7.6,6.7,6.2,6.2,6.5,5.8,5.6,5.6,5.2,4.3,3.7,3.5,3.5,3.4,3.4,3.2,3.0,2.9,
Octubre,7.3,7.7,6.7,6.3,6.6,6.6,6.0,5.9,5.5,5.2,4.2,3.7,3.7,3.6,3.4,3.5,3.2,3.0,2.9,
Noviembre,7.4,7.7,6.6,6.4,6.7,6.6,6.0,6.0,5.5,5.2,4.1,3.7,3.8,3.6,3.5,3.5,3.2,3.0,3.0,
Diciembre,7.6,8.0,7.0,6.6,6.9,6.8,6.3,6.2,5.6,5.5,4.2,3.8,3.9,3.8,3.6,3.6,3.4,3.1,3.0,
Enero,7.1,7.0,6.3,5.8,6.3,6.5,5.6,5.6,5.2,4.9,3.9,3.6,3.7,3.6,3.2,3.2,3.1,3.0,2.8,
Febrero,7.1,7.1,6.1,6.1,6.6,6.5,5.7,5.6,5.3,4.7,3.9,3.6,3.6,3.6,3.2,3.2,3.0,3.0,2.8,
Marzo,7.1,7.2,6.2,6.2,6.7,6.4,5.7,5.7,5.3,4.7,3.9,3.6,3.6,3.6,3.2,3.2,3.0,3.0,2.9,
Abril,7.1,6.9,6.3,6.1,6.5,6.1,5.5,5.5,5.3,4.5,3.8,3.5,3.6,3.6,3.3,3.3,3.0,2.9,2.8,
Mayo,7.2,6.8,6.4,6.1,6.5,6.1,5.6,5.6,5.2,4.4,3.8,3.5,3.5,3.6,3.3,3.3,3.0,2.9,2.8,
Junio,7.2,6.7,6.3,6.2,6.6,6.1,5.5,5.5,5.1,4.4,3.8,3.5,3.5,3.5,3.3,3.3,3.0,3.0,2.8,
