Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,11.9,11.5,12.2,12.4,10.3,10.9,11.0,11.7,12.3,12.0,11.7,11.8,11.8,11.7,12.2,12.0,11.4,11.2,10.9,11.0
Agosto,11.9,11.5,11.9,12.4,10.5,11.0,11.0,11.7,12.2,11.9,11.7,11.6,11.7,11.8,12.3,11.9,11.3,11.1,10.8,
Septiembre,12.0,11.8,11.8,12.5,10.7,11.0,11.1,11.7,12.1,11.9,11.7,11.5,11.8,11.8,12.3,11.8,11.4,11.0,10.8,
Octubre,11.7,11.9,11.6,12.5,10.8,11.1,11.3,11.9,11.9,11.9,11.6,11.6,11.7,11.8,12.3,11.9,11.3,11.3,10.8,
Noviembre,11.7,11.8,11.8,12.5,11.1,11.3,11.4,12.1,11.8,12.1,11.6,11.6,11.8,11.8,12.4,11.9,11.3,11.1,10.9,
Diciembre,11.8,11.9,11.8,12.7,11.3,11.4,11.4,12.3,11.8,12.1,11.6,11.7,11.9,11.8,12.5,12.0,11.5,11.3,10.9,
Enero,11.8,12.5,11.8,11.2,11.4,11.1,11.3,12.8,11.9,12.0,11.6,11.7,11.8,11.7,12.3,11.6,11.2,11.0,10.9,
Febrero,11.8,12.6,11.7,11.3,11.5,11.2,11.2,13.0,11.9,12.0,11.7,11.7,11.8,11.8,12.4,11.7,11.3,11.0,11.0,
Marzo,11.8,12.6,11.7,11.3,11.4,11.3,11.2,12.8,11.9,12.0,11.7,11.6,11.7,11.9,12.4,11.7,11.2,11.0,11.1,
Abril,11.5,12.6,12.8,10.0,11.3,11.2,11.3,12.6,11.9,12.0,11.7,11.6,11.7,11.9,12.3,11.5,11.2,11.0,11.1,
Mayo,11.4,12.6,12.7,10.0,11.3,11.2,11.4,12.5,12.0,11.9,11.7,11.6,11.7,11.9,12.2,11.5,11.2,11.0,11.1,
Junio,11.4,12.6,12.6,10.2,11.6,11.2,11.5,12.4,11.9,11.9,11.8,11.6,11.9,12.0,12.1,11.5,11.1,10.9,11.0,
