Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,17.4,17.4,15.3,13.8,13.1,12.9,12.9,12.2,11.9,11.1,11.5,11.7,11.5,11.2,11.3,11.4,11.2,11.5,11.6,11.6
Agosto,17.4,17.5,15.1,14.2,13.2,12.9,12.9,12.1,11.8,11.1,11.5,11.8,11.5,11.2,11.3,11.5,11.2,11.5,11.7,
Septiembre,17.4,17.1,15.0,13.9,13.3,13.0,13.0,12.2,11.9,11.2,11.5,12.1,11.5,11.4,11.6,11.6,11.3,11.6,11.7,
Octubre,16.6,18.1,15.2,13.5,13.6,13.1,13.0,12.0,12.0,11.3,11.5,12.1,11.4,11.1,11.8,11.7,11.3,11.6,11.6,
Noviembre,17.4,17.9,15.1,13.4,13.6,13.2,13.0,12.2,12.2,11.5,11.6,12.1,11.5,11.0,11.8,11.7,11.3,11.7,11.7,
Diciembre,17.6,18.4,15.3,14.2,14.0,13.6,13.0,12.6,12.4,11.8,11.7,12.4,11.7,11.2,12.2,12.1,11.7,12.1,11.9,
Enero,17.4,17.3,14.8,13.4,13.0,13.1,12.3,12.2,11.6,11.4,11.5,11.7,11.4,11.1,11.5,11.1,11.2,11.7,11.8,
Febrero,17.4,17.2,14.6,13.4,13.1,13.1,12.4,12.2,11.5,11.4,11.6,11.8,11.4,11.2,11.5,11.2,11.3,11.7,11.8,
Marzo,16.5,17.0,14.5,13.5,13.2,13.1,12.4,12.3,11.3,11.5,11.7,11.9,11.5,11.3,11.6,11.3,11.5,11.8,11.8,
Abril,18.0,16.7,14.4,13.4,12.9,12.9,12.3,12.0,11.4,11.4,11.7,11.7,11.4,11.5,11.5,11.2,11.4,11.7,11.7,
Mayo,18.0,16.7,14.5,13.4,13.0,12.9,12.3,12.1,11.3,11.5,11.7,11.8,11.4,11.6,11.6,11.3,11.4,11.7,11.7,
Junio,17.9,15.7,14.3,13.4,12.9,12.8,12.3,12.1,11.4,11.4,11.6,11.8,11.4,11.7,11.7,11.3,11.5,11.9,11.8,
