Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,3.5,3.5,3.7,3.3,3.0,2.9,3.4,3.2,3.3,3.3,3.2,3.3,2.9,2.7,2.5,2.4,2.4,2.4,2.4,2.4
Agosto,3.5,3.5,3.6,3.3,3.0,3.0,3.5,3.2,3.3,3.2,3.2,3.4,2.9,2.7,2.5,2.4,2.4,2.4,2.4,
Septiembre,3.5,3.6,3.5,3.3,3.1,3.0,3.4,3.2,3.3,3.2,3.3,3.4,2.9,2.7,2.4,2.4,2.4,2.4,2.4,
Octubre,3.5,3.7,3.6,3.3,3.1,3.2,3.5,3.3,3.2,3.2,3.2,3.4,2.9,2.7,2.4,2.4,2.4,2.4,2.4,
Noviembre,3.5,3.6,3.7,3.3,3.1,3.1,3.5,3.3,3.3,3.2,3.3,3.2,2.9,2.7,2.4,2.4,2.4,2.5,2.4,
Diciembre,3.5,3.7,3.5,3.4,3.1,3.2,3.5,3.3,3.3,3.1,3.3,3.3,2.9,2.7,2.5,2.5,2.5,2.5,2.4,
Enero,3.4,3.5,3.5,3.0,3.1,3.1,3.4,3.2,3.2,3.1,3.3,3.1,2.8,2.7,2.5,2.4,2.4,2.4,2.4,
Febrero,3.4,3.6,3.6,3.0,3.1,3.2,3.4,3.3,3.3,3.0,3.4,3.1,2.8,2.6,2.4,2.4,2.4,2.4,2.4,
Marzo,3.4,3.5,3.5,3.0,3.1,3.2,3.4,3.3,3.3,3.0,3.3,2.9,2.6,2.6,2.4,2.3,2.5,2.4,2.4,
Abril,3.3,3.7,3.3,3.0,2.9,3.4,3.2,3.3,3.3,3.1,3.3,2.9,2.6,2.5,2.4,2.4,2.4,2.4,2.3,
Mayo,3.3,3.6,3.3,3.0,2.9,3.4,3.3,3.2,3.2,3.1,3.3,2.9,2.6,2.5,2.4,2.4,2.4,2.4,2.3,
Junio,3.3,3.6,3.3,3.1,3.0,3.4,3.2,3.3,3.2,3.1,3.3,2.9,2.7,2.5,2.4,2.5,2.4,2.4,2.4,
