Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,57.9,57.1,52.9,48.5,47.8,47.4,46.7,44.7,44.8,40.7,35.5,34.2,33.5,32.9,32.4,31.9,31.4,30.1,29.6,29.4
Agosto,57.8,56.8,51.6,48.7,48.0,47.6,46.5,44.8,44.5,40.5,35.3,34.1,33.2,32.8,32.4,31.8,31.3,30.0,29.5,
Septiembre,57.8,57.9,51.6,49.1,48.5,47.5,46.7,45.0,44.6,40.7,35.4,34.1,33.5,33.0,32.5,32.1,31.4,30.0,29.6,
Octubre,57.3,57.1,51.0,49.2,49.4,47.9,47.1,45.5,43.9,40.5,34.8,34.1,33.3,33.0,32.7,32.2,31.3,30.2,29.3,
Noviembre,57.3,57.5,50.7,49.4,50.1,48.4,47.3,45.6,43.7,40.5,35.0,34.2,33.6,33.1,32.8,32.2,31.2,30.3,29.6,
Diciembre,57.3,57.9,51.6,50.1,50.5,49.2,48.0,46.2,44.0,41.4,35.5,34.6,34.1,33.5,33.2,33.1,31.8,30.7,29.9,
Enero,57.3,56.3,50.4,47.3,48.8,48.7,46.0,45.5,42.2,39.5,34.2,33.6,33.4,32.5,32.1,31.7,30.6,29.8,29.3,
Febrero,57.3,56.4,49.8,47.8,49.0,48.7,46.1,45.8,42.2,38.9,34.3,33.6,33.2,32.5,32.2,31.9,30.6,29.8,29.5,
Marzo,57.5,56.6,49.5,47.8,49.1,48.8,45.9,45.9,42.2,37.7,34.4,33.8,33.0,32.7,32.2,32.1,30.6,29.9,29.8,
Abril,56.9,56.4,48.9,48.5,48.3,47.6,45.3,45.4,41.8,37.4,34.2,33.5,32.9,32.4,31.9,31.9,30.2,29.7,29.6,
Mayo,57.2,55.0,49.1,48.2,47.9,47.4,45.3,45.4,41.8,36.7,34.4,33.5,32.9,32.5,31.9,31.8,30.2,29.8,29.6,
Junio,57.0,55.6,48.9,48.2,48.3,47.6,45.3,45.2,41.5,36.4,34.5,33.5,33.1,32.7,32.0,31.8,30.2,29.8,29.7,
