Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,87.1,85.6,76.9,71.0,68.4,69.6,67.0,64.0,61.8,59.8,54.4,51.3,50.0,48.1,42.7,42.3,42.3,43.2,41.8,40.1
Agosto,86.4,85.3,75.9,71.3,69.0,70.4,66.4,63.7,61.4,59.2,54.3,51.7,50.3,48.1,42.2,42.6,42.5,43.2,41.7,
Septiembre,86.3,84.9,75.9,71.0,69.2,70.6,66.8,63.3,61.5,59.4,54.3,52.3,50.2,47.7,42.6,43.0,42.9,43.6,42.1,
Octubre,84.2,85.8,75.5,70.0,70.0,70.4,67.4,62.9,61.5,58.7,54.5,52.7,49.8,47.3,43.6,43.6,42.8,43.5,40.9,
Noviembre,85.3,85.8,75.3,70.2,70.7,70.8,68.2,63.5,62.2,58.7,54.4,52.8,49.9,47.1,44.3,43.6,43.0,43.6,41.2,
Diciembre,85.9,86.5,75.6,72.0,71.9,71.9,69.2,64.2,62.9,59.7,54.8,53.5,50.8,47.3,45.2,44.5,44.2,44.6,41.0,
Enero,84.6,80.7,71.2,68.8,68.8,68.2,65.4,61.5,60.4,56.5,53.7,51.4,50.6,44.7,42.7,42.5,42.9,42.6,40.5,
Febrero,85.6,81.1,71.5,69.7,69.4,68.2,65.4,61.4,60.3,56.1,53.2,51.4,50.6,44.6,42.9,42.5,42.7,42.6,40.8,
Marzo,84.4,80.7,71.7,70.6,69.5,68.2,65.4,60.8,60.3,55.9,52.6,51.3,50.8,44.8,43.1,42.5,43.1,42.8,40.6,
Abril,85.8,79.4,73.4,69.2,69.1,67.7,64.6,61.0,59.9,55.5,52.3,51.4,49.9,44.2,42.5,42.4,43.1,41.6,40.0,
Mayo,85.7,79.8,74.4,69.0,69.6,67.6,64.8,61.3,59.7,55.3,52.0,51.2,49.9,43.7,42.7,42.5,43.3,41.6,39.9,
Junio,85.3,79.3,74.3,69.5,70.0,67.4,64.2,61.7,59.5,55.0,51.9,50.2,49.5,43.5,42.8,43.0,43.4,42.3,40.3,
