Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,15.4,14.7,12.4,11.8,10.9,10.1,11.0,10.2,9.2,7.8,5.7,5.9,5.6,4.8,4.5,4.8,5.4,5.2,5.3,5.4
Agosto,15.1,14.3,11.8,11.8,10.8,10.1,11.0,10.2,9.1,7.6,5.6,6.1,5.6,4.8,4.4,4.8,5.4,5.1,5.3,
Septiembre,15.3,14.8,11.7,11.8,10.8,10.1,11.0,10.3,9.0,7.5,5.7,6.1,5.6,4.8,4.4,4.9,5.4,5.1,5.3,
Octubre,15.2,14.5,11.6,11.6,10.8,10.1,11.0,10.3,9.0,7.4,5.7,6.0,5.2,4.8,4.4,5.0,5.4,5.1,5.3,
Noviembre,15.1,14.8,11.3,11.9,11.1,10.4,11.2,10.3,9.0,7.4,5.7,6.1,5.2,4.7,4.4,5.1,5.4,5.2,5.3,
Diciembre,15.2,14.7,11.7,12.0,10.7,10.4,11.0,10.2,8.8,7.2,5.8,6.1,5.2,4.8,4.4,5.4,5.4,5.3,5.4,
Enero,14.7,14.6,12.0,11.7,10.8,11.1,10.8,10.2,8.2,7.0,5.7,6.1,5.2,4.6,4.5,5.3,5.4,5.2,5.3,
Febrero,14.8,14.6,11.6,11.7,10.7,11.1,10.8,10.2,8.2,6.9,5.7,6.0,5.1,4.6,4.5,5.4,5.4,5.3,5.4,
Marzo,14.8,14.5,11.7,11.6,10.6,11.2,10.6,10.1,8.3,6.6,5.7,6.0,5.0,4.5,4.5,5.4,5.4,5.2,5.4,
Abril,14.6,14.5,11.6,11.4,10.2,11.1,10.7,9.8,8.2,6.5,5.8,5.8,4.9,4.6,4.5,5.4,5.2,5.3,5.3,
Mayo,14.7,13.9,11.7,11.1,9.7,11.0,10.4,9.7,8.1,6.3,5.8,5.7,4.8,4.5,4.6,5.4,5.2,5.3,5.3,
Junio,14.6,13.4,11.8,11.0,9.8,11.3,10.2,9.6,8.1,6.3,5.9,5.7,4.7,4.5,4.7,5.4,5.2,5.2,5.3,
