Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,8.9,8.8,7.4,7.0,7.5,7.5,7.0,6.9,7.0,6.5,5.2,5.0,5.2,5.2,5.2,4.9,4.7,4.3,4.1,4.0
Agosto,8.8,8.9,7.3,7.3,7.7,7.6,6.9,6.9,7.0,6.5,5.2,5.0,5.1,5.2,5.2,4.9,4.7,4.3,4.1,
Septiembre,8.8,8.8,7.4,7.4,7.8,7.5,7.0,6.9,7.1,6.4,5.2,5.1,5.2,5.3,5.2,4.9,4.6,4.3,4.1,
Octubre,8.8,8.6,7.5,7.5,7.8,7.8,6.8,6.8,6.9,6.3,5.0,5.0,5.1,5.3,5.2,4.9,4.6,4.2,4.1,
Noviembre,8.9,8.7,7.2,7.3,7.9,7.8,6.8,6.5,6.5,6.1,5.1,5.1,5.2,5.1,5.2,4.9,4.6,4.3,4.1,
Diciembre,8.2,8.4,7.3,7.2,7.8,7.8,6.8,6.4,6.6,6.0,5.0,5.0,5.1,5.4,5.3,5.0,4.5,4.2,4.1,
Enero,9.1,8.1,7.4,7.7,7.8,8.2,6.8,6.5,6.5,5.9,4.9,4.9,5.0,5.2,5.1,4.8,4.5,4.1,4.0,
Febrero,9.1,7.9,7.2,7.6,7.8,8.0,6.8,6.4,6.4,5.7,5.0,4.9,5.0,5.2,5.1,4.8,4.4,4.1,4.0,
Marzo,9.2,8.0,7.1,7.6,7.8,7.9,6.8,6.5,6.5,5.4,5.0,5.0,5.1,5.2,5.0,4.8,4.4,4.1,4.0,
Abril,9.1,7.7,7.1,7.5,7.7,7.3,6.7,6.5,6.5,5.3,4.9,5.1,5.1,5.2,5.0,4.8,4.3,4.1,4.0,
Mayo,9.1,7.8,6.9,7.5,7.7,7.2,6.8,6.5,6.5,5.2,5.1,5.2,5.1,5.2,4.9,4.8,4.3,4.1,4.0,
Junio,9.0,7.8,7.0,7.4,7.7,7.2,6.9,6.6,6.4,5.1,5.1,5.2,5.2,5.2,4.9,4.7,4.3,4.1,4.0,
