Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,29.6,29.4,30.8,31.9,32.2,32.4,32.5,31.6,28.9,26.2,23.4,21.5,20.4,19.1,18.7,17.8,17.3,17.3,16.6,16.2
Agosto,29.4,29.5,30.5,32.2,32.5,33.2,32.2,31.3,28.8,25.8,23.2,21.3,20.3,19.2,18.6,17.7,17.4,17.2,16.6,
Septiembre,29.7,29.5,30.9,32.3,32.5,33.3,32.4,31.3,28.8,25.7,23.1,21.3,20.2,19.0,18.4,17.6,17.5,17.1,16.6,
Octubre,29.2,29.8,30.7,32.1,32.6,32.9,32.8,31.3,28.7,25.8,22.7,21.3,20.1,19.2,18.2,17.7,17.5,17.1,16.5,
Noviembre,29.4,30.1,31.0,32.3,33.2,33.5,33.4,31.5,28.5,25.8,22.6,21.4,20.1,19.2,18.5,17.9,17.6,17.1,16.5,
Diciembre,29.4,30.1,31.0,32.9,33.1,33.4,33.3,31.2,28.6,25.7,22.5,21.7,20.3,19.4,18.5,17.9,17.7,17.1,16.4,
Enero,29.7,28.4,30.6,31.5,32.0,32.9,32.1,30.5,27.8,24.7,22.1,20.9,20.0,18.9,18.0,17.5,17.6,17.0,16.4,
Febrero,29.6,28.6,30.8,31.8,32.0,32.8,31.9,30.1,27.5,24.3,22.0,20.8,19.9,19.1,17.9,17.6,17.5,16.9,16.5,
Marzo,29.7,28.4,31.0,32.4,32.1,32.8,31.9,29.4,27.3,24.3,22.0,20.7,20.1,19.0,18.0,17.4,17.5,16.9,16.5,
Abril,29.2,28.8,31.6,31.9,31.9,32.4,31.7,29.2,26.8,24.3,22.0,20.6,19.4,19.2,17.7,17.4,17.5,16.6,16.3,
Mayo,29.2,29.6,32.0,32.0,32.0,32.4,31.8,29.1,26.6,24.0,21.6,20.5,19.4,19.1,17.8,17.4,17.5,16.5,16.3,
Junio,29.3,30.3,31.9,32.5,32.3,32.6,31.8,29.1,26.5,23.9,21.5,20.4,19.4,18.9,17.7,17.5,17.4,16.5,16.2,
