Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Julio,18.5,17.7,13.0,9.6,8.1,9.4,8.1,8.0,9.3,10.3,8.9,7.8,8.7,8.8,4.2,5.1,5.7,6.1,5.2,4.3
Agosto,18.1,17.4,12.8,9.3,8.1,9.3,7.9,8.2,9.1,10.2,8.9,8.2,9.0,8.6,3.8,5.3,5.9,6.2,5.1,
Septiembre,17.9,17.4,12.4,9.1,8.0,9.3,8.1,7.7,9.0,10.4,8.9,8.5,9.1,8.4,4.0,5.6,6.0,6.6,5.5,
Octubre,17.4,17.2,12.0,9.0,8.3,9.1,8.2,7.4,9.2,10.3,9.4,8.7,9.1,7.5,5.0,6.0,5.9,6.3,4.8,
Noviembre,17.5,17.0,11.7,9.0,8.3,8.7,8.3,7.4,9.8,10.4,9.3,9.0,9.2,7.3,5.5,5.8,5.9,6.2,4.9,
Diciembre,17.6,17.5,11.9,9.3,8.5,8.9,9.1,7.6,10.2,11.0,9.3,9.3,9.8,6.9,5.7,6.2,6.5,6.6,4.7,
Enero,16.4,15.9,11.6,8.8,8.0,8.5,8.5,7.0,9.4,9.6,9.3,8.8,10.3,5.8,4.9,5.7,6.1,5.5,4.4,
Febrero,17.5,15.9,11.7,9.0,8.3,8.6,8.4,7.3,9.6,9.5,8.8,8.8,10.5,5.5,5.1,5.6,5.9,5.6,4.5,
Marzo,17.0,15.8,11.7,9.2,8.1,8.8,8.5,7.3,9.9,9.2,8.3,8.9,10.6,5.6,5.2,5.7,6.0,5.6,4.4,
Abril,17.5,15.0,11.4,8.8,9.4,8.7,8.2,7.9,10.1,9.0,8.2,9.4,10.3,4.8,5.1,5.7,6.1,5.0,4.3,
Mayo,17.5,15.0,11.7,8.4,9.6,8.7,8.2,8.1,10.0,9.1,8.2,9.3,10.1,4.4,5.2,5.7,6.3,5.0,4.3,
Junio,17.3,15.0,12.1,8.3,9.7,8.5,7.6,8.6,10.0,8.9,8.2,8.6,9.6,4.3,5.3,6.1,6.3,5.5,4.4,
