Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Julio,"20,717","20,251","17,773","16,530","16,455","16,989","16,452","16,049","15,741","14,469","12,889","12,146","11,333","10,749","9,917","10,227","9,859","9,717","8,759"
Agosto,"20,551","19,853","17,958","16,782","16,841","17,031","16,484","15,747","15,242","14,363","12,753","12,054","11,391","10,580","9,887","10,344","9,871","9,824","8,781"
Septiembre,"20,390","20,018","17,808","16,894","17,007","15,763","16,896","15,464","15,392","14,593","12,854","12,014","11,420","10,652","9,880","10,408","9,805","9,776","8,579"
Octubre,"20,190","20,225","17,791","16,636","17,293","17,453","16,801","15,541","15,195","14,132","12,819","12,153","11,351","10,592","9,985","10,073","9,591","9,599","8,021"
Noviembre,"20,271","19,870","17,790","16,848","17,221","17,719","17,162","15,765","15,470","14,345","13,017","11,922","11,345","10,653","10,336","10,044","9,621","9,353","8,167"
Diciembre,"20,531","20,529","18,117","17,209","18,163","17,882","17,091","15,849","15,538","14,426","13,108","12,455","11,604","10,627","10,810","10,461","10,105","9,599","8,026"
Enero,"19,684","18,728","16,120","16,015","16,960","17,007","16,301","15,100","14,643","13,852","12,269","11,469","11,297","9,775","9,992","9,925","9,871","9,054",
Febrero,"20,321","19,167","16,773","16,572","17,120","16,905","16,301","15,531","14,749","13,691","12,034","11,852","11,532","10,272","10,195","9,805","9,681","9,116",
Marzo,"19,996","19,246","17,013","17,048","17,239","16,894","16,151","15,272","14,914","13,262","12,057","11,725","11,433","10,289","10,323","9,919","9,651","8,911",
Abril,"20,217","17,810","16,965","16,748","16,801","16,718","15,159","15,405","14,681","12,815","12,222","11,770","11,273","10,231","10,335","9,709","9,681","8,819",
Mayo,"20,048","18,204","16,724","16,654","16,842","16,572","15,805","15,380","14,573","13,072","12,284","11,596","11,228","9,975","10,134","9,744","9,551","8,740",
Junio,"20,022","18,342","17,260","16,648","17,001","16,654","15,779","15,625","14,681","13,194","12,140","11,512","11,083","10,077","10,341","9,882","9,669","8,752",
