Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Julio,"185,515","190,955","175,776","170,594","173,268","182,799","184,595","185,852","187,793","173,478","159,699","150,362","147,106","136,192","129,125","146,450","129,158","118,253","111,506"
Agosto,"185,478","188,206","178,143","172,854","176,658","184,787","184,124","181,562","183,510","174,794","159,789","149,110","147,399","132,350","129,316","145,336","127,825","119,847","111,610"
Septiembre,"184,867","191,031","177,190","174,347","179,590","173,550","190,925","181,702","184,394","177,740","157,336","147,651","146,630","133,148","130,908","144,255","125,208","118,291","108,519"
Octubre,"184,896","193,895","177,908","172,018","182,612","192,335","190,016","181,669","182,035","173,545","158,061","150,459","144,609","133,778","133,803","140,716","123,820","118,158","101,062"
Noviembre,"184,660","189,526","181,637","174,541","183,402","198,274","193,584","185,235","186,727","176,303","159,844","149,266","144,882","135,930","137,060","141,917","124,307","114,852","103,563"
Diciembre,"188,383","197,028","184,426","179,836","191,801","201,890","192,101","187,809","187,547","178,594","160,972","153,448","145,633","138,147","144,746","142,276","128,134","117,582","100,732"
Enero,"180,084","180,348","166,039","164,315","179,435","187,421","182,086","179,688","173,666","169,684","150,543","142,219","142,567","124,735","132,298","133,789","121,808","112,445",
Febrero,"187,223","185,345","170,749","172,183","179,418","181,562","183,227","183,892","176,256","166,351","146,212","148,385","144,150","130,552","138,553","129,718","120,337","115,314",
Marzo,"185,528","187,266","174,891","174,058","182,907","184,147","182,508","181,426","178,818","162,459","147,220","146,675","144,627","130,983","139,466","129,837","120,545","113,258",
Abril,"188,306","171,328","175,074","174,177","179,432","183,234","170,240","182,859","177,050","155,703","148,866","151,132","144,973","132,086","142,835","127,670","118,982","110,496",
Mayo,"185,336","175,488","170,750","174,033","181,051","181,463","178,125","182,093","174,291","159,875","149,247","148,779","140,574","127,975","136,711","127,058","116,048","109,598",
Junio,"186,952","178,649","176,225","173,306","183,784","184,691","179,406","185,471","175,589","161,623","149,443","147,813","139,647","130,797","142,810","128,763","118,541","109,924",
