Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,144,128,147,164,163,137,157,156,159,160,206,211,193,168,163,155,134,130,113,97,84,94,99,67,71
Agosto,146,126,149,163,161,135,159,153,160,164,207,207,191,167,167,157,134,131,114,94,84,95,98,68,70
Septiembre,149,125,151,160,158,135,161,148,160,167,208,203,189,167,170,157,135,133,116,91,87,97,95,69,69
Octubre,151,124,151,157,155,136,163,145,158,171,207,200,189,168,173,154,135,134,117,90,91,101,90,71,68
Noviembre,151,125,150,155,154,138,163,145,155,175,205,199,188,169,174,148,135,134,118,90,94,103,85,72,68
Diciembre,149,128,147,155,153,140,159,145,151,180,204,200,187,169,174,142,134,134,116,91,96,103,81,73,69
Enero,145,132,145,158,153,143,154,147,147,185,205,202,185,167,172,137,132,132,113,93,96,100,78,72,69
Febrero,141,137,178,162,152,146,150,149,144,189,209,203,182,165,168,135,130,129,110,94,97,96,76,72,70
Marzo,137,140,169,166,150,151,148,151,143,193,212,203,179,161,162,135,129,125,108,94,**,93,74,72,70
Abril,134,142,165,168,148,154,149,153,145,196,215,202,176,159,157,135,129,120,105,92,**,93,71,72,71
Mayo,132,143,164,168,145,155,153,155,150,199,216,199,173,159,154,135,130,116,103,89,96,95,69,72,70
Junio,130,145,164,166,141,156,155,157,155,203,214,196,170,160,153,134,130,113,100,86,95,97,68,72,70
