Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,140","1,167","1,122","1,160","1,187","1,213","1,240","1,265","1,221","1,187","1,095","1,057","1,022","1,026","1,001",970,976,982,969,984,"1,022","1,048","1,079","1,098","1,115"
Agosto,"1,134","1,163","1,125","1,162","1,184","1,219","1,243","1,265","1,212","1,182","1,092","1,060","1,022","1,025","1,000",968,981,978,965,986,"1,017","1,043","1,087","1,098","1,129"
Septiembre,"1,129","1,160","1,130","1,165","1,181","1,221","1,240","1,267","1,205","1,178","1,089","1,063","1,023","1,022",999,968,987,976,964,988,"1,006","1,033","1,099","1,104","1,141"
Octubre,"1,128","1,155","1,135","1,166","1,180","1,220","1,236","1,271","1,200","1,172","1,087","1,063","1,024","1,019",996,971,991,976,924,989,992,"1,021","1,112","1,114","1,147"
Noviembre,"1,132","1,150","1,141","1,168","1,181","1,215","1,236","1,275","1,198","1,163","1,084","1,058","1,025","1,016",992,977,993,980,967,989,981,"1,012","1,125","1,123","1,146"
Diciembre,"1,139","1,144","1,147","1,170","1,183","1,208","1,242","1,278","1,198","1,152","1,080","1,050","1,025","1,013",988,983,994,985,969,989,973,"1,011","1,133","1,130","1,144"
Enero,"1,148","1,137","1,151","1,173","1,185","1,202","1,253","1,277","1,200","1,139","1,075","1,040","1,024","1,010",985,988,995,990,973,989,962,"1,018","1,136","1,131","1,147"
Febrero,"1,157","1,130","1,154","1,178","1,187","1,199","1,265","1,274","1,203","1,128","1,069","1,032","1,023","1,007",982,988,995,992,976,991,963,"1,031","1,135","1,126","1,147"
Marzo,"1,164","1,124","1,155","1,184","1,189","1,200","1,275","1,267","1,204","1,118","1,063","1,025","1,023","1,004",980,984,994,992,977,997,,"1,047","1,130","1,117","1,145"
Abril,"1,169","1,121","1,156","1,189","1,193","1,207","1,277","1,257","1,203","1,110","1,059","1,022","1,023","1,002",978,979,992,988,977,"1,005",,"1,060","1,121","1,107","1,140"
Mayo,"1,171","1,120","1,157","1,192","1,199","1,219","1,273","1,245","1,199","1,103","1,056","1,021","1,025","1,001",976,975,990,983,979,"1,014",980,"1,069","1,111","1,103","1,136"
Junio,"1,169","1,121","1,158","1,191","1,206","1,231","1,268","1,232","1,193","1,099","1,055","1,021","1,026","1,001",973,974,986,975,982,"1,021","1,048","1,074","1,103","1,105","1,133"
