Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,139,130,136,170,167,134,166,167,169,167,219,217,200,182,172,156,123,139,113,104,89,82,108,65,80
Agosto,154,143,163,174,163,155,157,153,168,172,208,206,197,170,174,173,137,133,128,99,77,96,109,69,72
Septiembre,153,124,161,166,160,132,150,156,153,163,217,209,188,168,175,168,136,146,119,94,89,107,95,74,67
Octubre,160,128,162,158,156,137,173,138,166,172,210,204,201,171,171,154,161,137,120,90,98,95,85,76,67
Noviembre,149,114,144,145,161,134,176,140,151,172,204,198,188,160,164,153,132,121,115,82,91,105,88,74,71
Diciembre,131,114,125,143,135,133,149,137,146,180,185,185,164,162,180,135,117,135,109,93,98,118,82,73,70
Enero,152,131,147,152,151,145,157,145,148,175,207,199,190,179,168,122,124,130,117,86,101,101,77,68,70
Febrero,136,146,184,168,143,134,140,158,147,190,204,200,183,163,168,126,131,129,108,97,83,89,73,71,70
Marzo,136,136,163,164,159,155,133,146,126,193,207,210,182,157,162,142,137,123,105,100,,85,70,69,68
Abril,129,142,159,168,148,153,142,142,135,197,221,202,172,150,152,140,128,128,102,85,,83,69,66,66
Mayo,133,145,162,166,145,151,162,151,157,192,218,199,164,156,153,136,126,113,101,86,105,95,69,71,66
Junio,133,146,173,175,140,167,165,167,163,201,215,188,170,160,144,139,119,101,100,91,98,96,68,72,68
