Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,20,20,18,21,22,28,30,16,10,16,16,18,19,19,22,16,11,20,22,15,8,10,16,13,10
Agosto,23,20,20,23,19,26,26,16,12,19,17,15,16,16,22,20,15,20,22,11,13,18,21,12,8
Septiembre,22,19,23,28,23,25,26,15,12,16,18,15,16,21,23,21,16,16,,10,17,21,23,,13
Octubre,22,20,28,24,23,23,24,24,14,22,16,13,15,18,22,22,20,21,13,12,23,23,19,16,14
Noviembre,26,23,28,27,22,19,20,16,17,20,16,17,15,12,15,19,20,20,18,14,23,19,19,20,18
Diciembre,25,20,24,20,26,22,20,18,19,23,18,18,20,14,12,15,22,23,17,19,18,15,15,21,22
Enero,23,25,25,20,27,26,28,21,13,22,15,15,18,23,14,17,18,17,17,18,19,20,11,20,25
Febrero,24,27,24,24,27,27,19,17,21,18,18,19,20,15,14,14,11,16,11,17,16,14,10,19,21
Marzo,25,20,21,25,27,30,21,12,15,15,17,18,18,18,18,16,13,15,12,16,,11,9,21,20
Abril,23,22,18,29,27,29,20,14,14,19,22,14,15,17,15,13,14,11,13,14,,9,11,15,16
Mayo,27,21,22,25,26,23,12,12,17,15,18,17,17,15,13,11,16,18,14,12,11,8,15,14,13
Junio,22,17,21,24,27,22,16,13,14,18,19,22,13,17,14,9,19,21,14,9,10,10,17,13,13
