Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,138","1,170","1,114","1,147","1,184","1,203","1,223","1,235","1,207","1,173","1,083","1,041","1,012","1,023",998,965,979,982,972,988,"1,036","1,042","1,056","1,079","1,107"
Agosto,"1,116","1,132","1,107","1,149","1,168","1,202","1,238","1,251","1,202","1,168","1,079","1,048",999,"1,011",991,957,971,968,957,976,"1,021","1,038","1,075","1,090","1,123"
Septiembre,"1,113","1,146","1,115","1,154","1,152","1,224","1,258","1,263","1,202","1,173","1,077","1,057","1,022","1,010",984,948,984,968,964,986,996,"1,030","1,096","1,095","1,137"
Octubre,"1,123","1,138","1,115","1,154","1,176","1,212","1,213","1,273","1,188","1,160","1,090","1,067","1,017","1,013",993,970,979,960,928,985,988,"1,026","1,103","1,098","1,151"
Noviembre,"1,132","1,160","1,153","1,177","1,178","1,212","1,221","1,280","1,205","1,178","1,088","1,069","1,027","1,025","1,004",976,993,983,983,988,978,"1,008","1,126","1,128","1,160"
Diciembre,"1,163","1,166","1,161","1,167","1,207","1,223","1,230","1,275","1,201","1,166","1,096","1,062","1,054","1,026",993,991,"1,020",997,991,996,969,996,"1,154","1,147","1,149"
Enero,"1,147","1,129","1,146","1,182","1,182","1,201","1,265","1,275","1,201","1,147","1,085","1,053","1,030","1,019",999,"1,008",994,987,972,989,949,"1,011","1,129","1,145","1,151"
Febrero,"1,163","1,130","1,160","1,174","1,186","1,202","1,272","1,292","1,213","1,131","1,069","1,029","1,026","1,013",983,999,"1,000","1,011",969,985,974,"1,034","1,143","1,133","1,146"
Marzo,"1,179","1,128","1,164","1,188","1,198","1,205","1,297","1,282","1,221","1,102","1,066","1,020","1,019","1,004",981,992,987,996,971,980,,"1,066","1,139","1,123","1,143"
Abril,"1,159","1,124","1,162","1,197","1,200","1,193","1,301","1,265","1,206","1,116","1,060","1,019","1,013",999,978,972,996,983,979,"1,006",,"1,084","1,128","1,111","1,131"
Mayo,"1,198","1,131","1,162","1,210","1,196","1,230","1,270","1,245","1,199","1,119","1,053","1,019","1,031",998,972,965,"1,000",982,982,"1,018",986,"1,081","1,116","1,096","1,133"
Junio,"1,175","1,136","1,169","1,200","1,218","1,248","1,266","1,223","1,191","1,094","1,056","1,036","1,029","1,000",978,969,984,978,993,"1,039","1,048","1,064","1,100","1,091","1,131"
