Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,252,255,254,265,275,266,267,294,284,261,242,233,217,212,206,188,172,188,194,179,183,188,168,165,180
Agosto,235,234,231,254,274,262,276,287,271,256,255,234,222,218,216,190,183,199,189,182,176,178,171,174,186
Septiembre,228,242,230,260,259,273,282,300,264,264,254,243,219,222,216,190,193,197,,184,162,177,180,,202
Octubre,232,241,225,254,259,280,291,292,255,255,258,241,228,224,207,199,195,195,185,178,162,169,177,184,192
Noviembre,242,254,249,260,258,275,277,292,252,257,258,241,230,227,204,202,190,194,190,178,150,155,185,187,197
Diciembre,247,262,252,258,253,270,281,284,251,263,262,239,235,223,202,211,187,198,193,181,149,153,179,189,183
Enero,244,243,259,262,253,257,295,279,266,254,257,234,230,201,209,218,180,198,197,170,155,163,174,188,183
Febrero,253,250,270,265,249,259,275,291,281,259,253,224,222,210,205,217,189,200,201,163,163,173,184,179,169
Marzo,256,241,271,272,264,264,281,292,292,259,247,217,221,207,200,201,191,201,202,158,,192,180,169,162
Abril,256,254,279,283,270,262,288,289,280,263,240,209,215,204,195,193,194,199,183,166,,197,172,165,167
Mayo,267,241,274,277,271,282,309,289,265,262,236,215,217,198,193,185,197,204,184,175,194,183,168,163,171
Junio,257,246,265,279,285,269,300,286,262,246,238,221,217,199,188,169,190,189,185,182,196,176,175,169,176
