Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,222,245,222,241,249,249,273,256,251,245,245,223,228,217,219,242,248,223,214,227,248,247,269,286,267
Agosto,218,238,220,248,243,253,277,260,245,244,227,224,221,221,219,239,228,241,215,231,247,260,267,269,265
Septiembre,228,241,226,254,243,264,271,261,254,247,221,217,229,219,220,233,230,240,,226,231,250,261,,254
Octubre,237,244,233,248,245,264,260,270,255,241,210,231,224,214,222,227,231,223,224,233,243,233,266,256,255
Noviembre,231,239,245,257,241,251,278,272,261,243,213,233,231,233,239,228,235,229,238,255,242,241,267,254,265
Diciembre,240,242,239,244,262,261,267,273,263,234,239,236,240,233,235,226,240,244,247,240,228,239,282,260,273
Enero,243,239,230,241,247,259,260,263,255,231,242,247,231,224,234,237,231,229,262,237,216,244,275,272,286
Febrero,234,229,238,240,248,246,271,274,248,253,246,238,236,241,228,235,250,237,255,259,229,246,273,275,293
Marzo,246,243,240,252,246,251,261,257,262,243,247,244,233,230,232,242,244,227,252,248,,244,299,288,280
Abril,238,236,234,248,253,244,263,251,268,244,254,243,221,222,232,245,232,217,238,243,,239,307,281,274
Mayo,256,230,241,264,249,256,265,251,254,243,251,241,223,220,229,239,232,215,239,271,221,259,305,293,282
Junio,250,236,243,259,254,279,279,253,258,240,245,226,221,221,246,253,217,215,221,261,241,260,298,280,278
