Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,86,84,83,84,79,82,77,97,89,83,56,57,50,55,42,26,31,42,31,48,52,59,59,63,68
Agosto,91,78,79,79,82,90,82,102,84,78,59,47,47,58,43,34,33,33,29,45,52,48,69,70,74
Septiembre,91,86,88,76,91,88,90,97,84,74,61,48,56,51,37,32,29,30,,47,42,50,66,,67
Octubre,92,85,84,84,94,90,90,101,93,72,62,47,56,59,46,29,30,33,34,42,41,54,66,59,56
Noviembre,92,92,90,86,92,97,85,92,98,75,53,49,47,50,49,37,33,35,40,42,42,54,63,51,65
Diciembre,85,88,81,81,94,92,85,100,89,76,51,52,42,41,42,39,31,32,46,44,49,67,59,58,58
Enero,83,80,89,87,87,85,94,100,87,67,47,51,44,45,39,42,37,37,44,59,52,56,54,51,54
Febrero,84,84,85,82,84,88,83,101,86,59,47,47,49,38,50,40,30,33,40,63,56,57,50,48,49
Marzo,80,85,79,77,89,80,94,97,76,63,53,38,49,38,41,35,31,25,36,57,,50,44,46,52
Abril,77,81,87,78,80,77,93,103,72,63,57,42,51,36,41,43,39,24,39,48,,48,49,52,54
Mayo,72,79,82,77,78,80,87,91,78,69,52,43,51,44,37,39,37,30,40,42,35,49,53,49,62
Junio,79,83,78,77,86,78,94,93,76,57,53,50,56,43,30,33,30,30,44,43,54,55,60,55,67
