Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,43,42,39,33,41,41,39,39,40,44,49,41,34,27,25,36,48,50,44,24,32,37,37,38,36
Agosto,37,38,42,38,39,41,45,45,36,45,39,39,33,22,29,34,39,44,38,23,36,40,34,31,39
Septiembre,39,34,36,39,39,42,44,41,32,41,42,42,35,29,31,31,39,37,,34,34,36,37,,38
Octubre,40,38,39,41,35,40,40,44,32,40,43,38,32,30,34,35,40,34,30,39,41,43,40,34,47
Noviembre,41,40,40,42,41,43,42,45,36,33,43,42,37,26,36,33,50,38,38,32,37,39,37,39,49
Diciembre,39,38,41,44,42,40,48,49,46,28,37,43,39,29,32,33,41,37,39,32,37,36,37,38,42
Enero,41,39,42,43,39,41,45,47,44,36,39,38,39,29,29,28,38,41,38,27,26,29,34,42,38
Febrero,45,42,43,42,38,42,50,47,43,41,40,37,35,36,29,26,41,50,43,31,31,33,38,45,44
Marzo,44,38,47,45,41,46,58,47,46,46,32,33,34,33,27,29,38,40,39,31,,38,40,46,55
Abril,42,39,43,44,45,40,46,41,50,49,36,38,31,30,27,34,46,45,39,34,,42,44,45,46
Mayo,46,42,44,47,46,46,52,47,47,50,35,36,32,27,33,39,47,47,29,28,43,41,43,40,41
Junio,42,41,40,44,45,45,44,38,47,45,40,36,27,25,33,47,52,48,26,25,38,33,40,41,39
