Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,309,308,299,313,325,343,349,336,354,347,307,321,325,359,343,317,347,333,331,352,370,359,361,368,391
Agosto,306,311,315,325,333,343,339,348,369,346,318,335,327,346,332,312,342,313,329,348,356,359,370,387,399
Septiembre,300,308,307,319,316,340,343,359,369,360,325,338,337,344,335,311,343,327,,340,376,356,379,,407
Octubre,290,286,309,325,334,322,327,366,359,351,338,348,335,337,338,323,321,339,326,323,351,368,387,397,421
Noviembre,286,297,311,321,330,334,341,380,357,370,341,344,348,340,346,329,336,350,326,321,344,351,389,414,410
Diciembre,315,294,322,334,337,340,343,365,351,364,324,334,346,353,347,345,361,358,326,321,341,338,418,416,414
Enero,305,288,310,334,329,346,365,382,347,348,322,336,332,349,346,340,366,368,301,325,336,337,408,395,409
Febrero,310,294,314,333,345,341,365,373,346,337,313,319,322,335,336,340,355,371,297,311,328,342,413,392,409
Marzo,313,286,309,330,346,337,368,368,335,323,323,321,327,328,333,337,349,373,299,321,,377,413,403,410
Abril,305,285,302,324,350,344,391,361,338,328,305,324,339,334,329,323,352,359,326,348,,387,403,410,412
Mayo,310,306,297,319,342,350,342,362,359,325,308,322,354,342,330,341,350,347,336,338,346,388,396,407,415
Junio,302,307,316,323,329,358,341,355,358,333,308,340,359,343,323,344,345,336,365,354,356,380,382,402,413
