Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,48,53,58,58,55,62,57,53,51,57,62,45,41,44,44,43,46,42,48,47,43,46,44,47,49
Agosto,51,50,60,52,50,55,57,52,57,58,59,54,38,44,43,42,47,38,49,44,39,44,47,45,44
Septiembre,53,51,61,47,49,61,60,53,56,54,58,51,38,41,45,46,45,38,,44,43,50,45,,42
Octubre,58,59,60,49,50,61,59,50,54,56,59,48,40,45,50,45,44,37,37,50,36,43,50,51,46
Noviembre,58,55,59,56,55,56,54,49,55,55,57,48,38,48,43,44,39,33,43,42,42,45,57,60,41
Diciembre,58,57,62,53,52,55,60,55,52,57,58,45,40,48,47,46,48,33,37,49,39,44,67,62,41
Enero,55,56,60,58,56,50,49,50,50,61,57,44,35,48,51,48,39,30,32,49,34,52,71,70,40
Febrero,53,55,57,56,54,54,58,53,51,60,59,48,41,46,43,48,38,35,38,47,45,53,64,64,44
Marzo,51,55,56,53,49,62,65,62,63,57,56,49,41,43,43,48,40,34,37,56,,50,55,54,48
Abril,58,57,62,57,51,61,56,59,55,58,51,49,39,42,41,42,39,41,37,57,,53,53,47,52
Mayo,50,58,63,60,59,59,60,60,55,59,56,48,42,49,40,39,43,42,42,55,37,46,39,39,48
Junio,56,56,64,56,60,60,52,52,53,57,52,43,42,49,42,39,48,53,45,51,45,50,36,37,46
