Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,147,162,147,170,155,171,184,181,180,176,171,146,150,164,142,144,167,159,140,152,180,190,183,185,191
Agosto,158,158,156,172,159,171,171,187,185,186,162,147,139,155,136,154,159,149,154,159,173,180,187,193,189
Septiembre,155,162,160,168,147,164,167,199,186,178,157,159,156,150,137,164,162,157,,163,163,194,193,,185
Octubre,155,166,157,166,160,163,170,193,181,180,167,160,154,158,152,155,157,156,132,149,153,180,201,199,202
Noviembre,152,173,162,174,157,159,175,197,192,174,156,163,160,164,161,166,170,171,157,160,165,180,185,196,197
Diciembre,174,158,165,168,172,163,178,185,176,169,169,167,176,155,152,156,170,164,174,181,161,188,205,190,199
Enero,160,146,150,171,171,159,186,192,175,166,160,165,154,164,153,167,167,157,166,182,165,183,193,188,201
Febrero,160,151,171,171,173,162,180,196,166,158,157,167,169,160,156,159,155,146,164,184,168,194,182,183,202
Marzo,168,143,165,168,177,164,195,197,171,156,163,158,168,159,154,162,151,147,158,190,,185,191,193,204
Abril,160,135,160,170,174,165,193,199,162,162,162,159,163,154,150,167,164,151,169,177,,176,192,199,201
Mayo,165,150,162,165,168,182,175,193,178,162,153,154,165,154,146,155,157,151,176,183,158,183,199,188,195
Junio,150,153,164,163,172,183,192,188,177,171,144,158,158,146,144,172,157,153,173,190,182,182,197,188,196
