Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"1,277","1,300","1,250","1,317","1,351","1,337","1,389","1,402","1,376","1,340","1,303","1,259","1,212","1,205","1,169","1,120","1,101","1,121","1,085","1,092","1,124","1,123","1,164","1,145","1,187"
Agosto,"1,270","1,275","1,270","1,323","1,331","1,357","1,395","1,404","1,370","1,340","1,287","1,253","1,196","1,182","1,165","1,130","1,108","1,101","1,085","1,075","1,098","1,135","1,184","1,159","1,196"
Septiembre,"1,266","1,270","1,276","1,320","1,313","1,356","1,408","1,420","1,355","1,336","1,294","1,266","1,210","1,178","1,160","1,116","1,120","1,113","1,083","1,080","1,085","1,137","1,190","1,168","1,204"
Octubre,"1,283","1,266","1,277","1,312","1,332","1,348","1,386","1,411","1,354","1,332","1,300","1,270","1,218","1,185","1,164","1,124","1,139","1,097","1,048","1,074","1,086","1,120","1,187","1,174","1,218"
Noviembre,"1,281","1,274","1,296","1,322","1,339","1,346","1,397","1,420","1,355","1,350","1,292","1,267","1,215","1,185","1,168","1,130","1,124","1,104","1,097","1,070","1,069","1,113","1,214","1,202","1,231"
Diciembre,"1,294","1,281","1,286","1,311","1,342","1,356","1,379","1,413","1,347","1,346","1,281","1,247","1,218","1,188","1,173","1,126","1,137","1,132","1,100","1,089","1,067","1,114","1,237","1,220","1,219"
Enero,"1,298","1,261","1,293","1,334","1,333","1,346","1,422","1,420","1,349","1,323","1,292","1,252","1,220","1,198","1,168","1,130","1,119","1,117","1,089","1,074","1,050","1,112","1,206","1,213","1,222"
Febrero,"1,298","1,276","1,344","1,342","1,329","1,336","1,412","1,450","1,359","1,321","1,274","1,229","1,210","1,176","1,151","1,125","1,130","1,140","1,077","1,083","1,057","1,123","1,216","1,204","1,216"
Marzo,"1,315","1,263","1,327","1,351","1,357","1,360","1,430","1,428","1,347","1,296","1,273","1,230","1,201","1,161","1,143","1,134","1,124","1,119","1,077","1,079",,"1,151","1,209","1,192","1,211"
Abril,"1,288","1,266","1,321","1,365","1,347","1,346","1,443","1,407","1,341","1,313","1,281","1,221","1,186","1,148","1,130","1,112","1,125","1,111","1,081","1,091",,"1,166","1,198","1,177","1,198"
Mayo,"1,331","1,277","1,324","1,375","1,341","1,381","1,432","1,397","1,356","1,311","1,271","1,217","1,194","1,154","1,125","1,101","1,126","1,095","1,083","1,104","1,090","1,175","1,185","1,166","1,199"
Junio,"1,307","1,282","1,342","1,375","1,358","1,414","1,430","1,390","1,355","1,294","1,272","1,225","1,199","1,160","1,122","1,109","1,104","1,079","1,094","1,129","1,145","1,159","1,167","1,162","1,198"
