Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"2,788","2,803","2,819","2,862","2,883","2,888","2,888","2,906","2,906","2,909","2,911","2,919","2,902","2,885","2,872","2,844","2,813","2,786","2,742","2,660","2,676","2,754","2,755","2,734","2,729"
Agosto,"2,791","2,802","2,822","2,864","2,885","2,887","2,890","2,906","2,905","2,909","2,913","2,917","2,902","2,885","2,871","2,840","2,810","2,780","2,731","2,663","2,674","2,754","2,754","2,733","2,729"
Septiembre,"2,792","2,802","2,828","2,865","2,885","2,887","2,892","2,906","2,911","2,910","2,911","2,916","2,898","2,883","2,868","2,838","2,808","2,776","2,728","2,663","2,669","2,751","2,754","2,729","2,729"
Octubre,"2,792","2,805","2,834","2,863","2,884","2,887","2,894","2,907","2,910","2,909","2,912","2,915","2,898","2,883","2,865","2,835","2,806","2,774","2,719","2,665","2,664","2,751","2,752","2,728","2,728"
Noviembre,"2,793","2,806","2,839","2,866","2,884","2,886","2,896","2,906","2,909","2,909","2,912","2,913","2,897","2,879","2,863","2,833","2,803","2,771","2,711","2,666","2,659","2,754","2,750","2,727","2,729"
Diciembre,"2,798","2,808","2,842","2,870","2,882","2,885","2,900","2,901","2,906","2,910","2,912","2,913","2,895","2,878","2,861","2,830","2,801","2,765","2,705","2,669","2,654","2,755","2,751","2,728","2,730"
Enero,"2,798","2,808","2,845","2,873","2,883","2,885","2,901","2,907","2,910","2,910","2,916","2,911","2,896","2,881","2,858","2,827","2,798","2,762","2,701","2,668","2,654","2,755","2,744","2,729","2,729"
Febrero,"2,801","2,810","2,848","2,873","2,883","2,887","2,903","2,908","2,909","2,912","2,916","2,907","2,895","2,879","2,855","2,826","2,796","2,759","2,694","2,671","2,652","2,752","2,742","2,727","2,730"
Marzo,"2,804","2,809","2,852","2,874","2,883","2,887","2,904","2,904","2,908","2,911","2,921","2,906","2,893","2,878","2,854","2,822","2,794","2,756","2,688","2,670",,"2,754","2,740","2,726","2,728"
Abril,"2,804","2,813","2,855","2,875","2,884","2,887","2,908","2,907","2,908","2,910","2,917","2,904","2,890","2,875","2,851","2,823","2,790","2,751","2,674","2,672",,"2,755","2,738","2,729","2,729"
Mayo,"2,804","2,815","2,858","2,878","2,887","2,886","2,905","2,907","2,908","2,910","2,921","2,905","2,888","2,874","2,848","2,819","2,789","2,751","2,674","2,675","2,753","2,755","2,738","2,729","2,728"
Junio,"2,805","2,818","2,861","2,881","2,888","2,886","2,905","2,906","2,907","2,912","2,918","2,904","2,888","2,873","2,845","2,815","2,785","2,744","2,665","2,675","2,753","2,757","2,738","2,729","2,728"
