Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,10.9,10.0,10.9,12.9,12.4,10.0,11.9,11.9,12.3,12.4,16.8,17.3,16.5,15.1,14.7,13.9,11.1,12.4,10.5,9.5,7.9,7.3,9.3,5.7,6.7
Agosto,12.1,11.2,12.9,13.1,12.2,11.4,11.2,10.9,12.2,12.8,16.2,16.4,16.4,14.4,14.9,15.3,12.3,12.0,11.8,9.2,7.0,8.5,9.2,6.0,6.0
Septiembre,12.1,9.8,12.6,12.6,12.2,9.8,10.7,11.0,11.3,12.2,16.8,16.5,15.6,14.3,15.1,15.1,12.2,13.1,11.0,8.7,8.2,9.4,7.9,6.3,5.6
Octubre,12.5,10.1,12.7,12.0,11.7,10.1,12.5,9.8,12.3,12.9,16.2,16.0,16.5,14.5,14.7,13.7,14.1,12.5,11.4,8.3,9.0,8.5,7.1,6.5,5.5
Noviembre,11.7,9.0,11.1,11.0,12.0,9.9,12.6,9.9,11.1,12.7,15.8,15.6,15.4,13.5,14.1,13.6,11.7,10.9,10.4,7.7,8.5,9.5,7.3,6.2,5.7
Diciembre,10.1,8.9,9.7,10.9,10.1,9.8,10.8,9.7,10.8,13.3,14.5,14.9,13.4,13.6,15.4,12.0,10.3,12.0,9.9,8.5,9.2,10.6,6.7,6.0,5.8
Enero,11.7,10.4,11.4,11.4,11.3,10.8,11.0,10.2,11.0,13.3,16.0,15.9,15.5,14.9,14.4,10.8,11.1,11.6,10.7,8.0,9.6,9.1,6.4,5.6,5.8
Febrero,10.5,11.4,13.7,12.5,10.8,10.0,9.9,10.9,10.8,14.4,16.1,16.3,15.2,13.9,14.6,11.2,11.6,11.3,10.0,9.0,7.8,7.9,6.0,5.9,5.8
Marzo,10.4,10.7,12.3,12.1,11.7,11.4,9.3,10.2,9.3,14.9,16.3,17.1,15.1,13.5,14.2,12.5,12.2,11.0,9.8,9.3,,7.4,5.8,5.8,5.7
Abril,10.0,11.2,12.0,12.3,11.0,11.4,9.8,10.1,10.1,15.0,17.2,16.5,14.5,13.0,13.4,12.6,11.4,11.5,9.4,7.8,,7.1,5.8,5.6,5.6
Mayo,10.0,11.4,12.2,12.0,10.8,10.9,11.3,10.8,11.6,14.6,17.1,16.3,13.7,13.5,13.6,12.3,11.2,10.3,9.3,7.8,9.6,8.1,5.8,6.1,5.5
Junio,10.1,11.4,12.9,12.7,10.3,11.8,11.5,12.0,12.1,15.5,16.9,15.4,14.2,13.8,12.8,12.6,10.8,9.4,9.2,8.0,8.5,8.2,5.8,6.2,5.6
