Meses,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,45.8,46.4,44.3,46.0,46.9,46.3,48.1,48.2,47.4,46.1,44.8,43.1,41.8,41.8,40.7,39.4,39.2,40.2,39.6,41.1,42.0,40.8,42.3,41.9,43.5
Agosto,45.5,45.5,45.0,46.2,46.1,47.0,48.3,48.3,47.2,46.1,44.2,43.0,41.2,41.0,40.6,39.8,39.4,39.6,39.7,40.4,41.1,41.2,43.0,42.4,43.8
Septiembre,45.4,45.3,45.1,46.1,45.5,47.0,48.7,48.9,46.6,45.9,44.5,43.4,41.7,40.8,40.4,39.3,39.9,40.1,39.7,40.6,40.7,41.3,43.2,42.8,44.1
Octubre,45.9,45.1,45.1,45.8,46.2,46.7,47.9,48.6,46.5,45.8,44.7,43.6,42.1,41.1,40.6,39.6,40.6,39.5,38.5,40.3,40.8,40.7,43.2,43.0,44.6
Noviembre,45.9,45.4,45.7,46.2,46.4,46.6,48.2,48.9,46.6,46.4,44.4,43.5,41.9,41.2,40.8,39.9,40.1,39.8,40.5,40.1,40.2,40.4,44.2,44.1,45.1
Diciembre,46.2,45.6,45.3,45.7,46.6,47.0,47.5,48.7,46.4,46.2,44.0,42.8,42.1,41.3,41.0,39.8,40.6,40.9,40.7,40.8,40.2,40.4,45.0,44.7,44.7
Enero,46.4,44.9,45.5,46.4,46.2,46.7,49.0,48.9,46.4,45.5,44.3,43.0,42.1,41.6,40.9,40.0,40.0,40.4,40.3,40.2,39.6,40.4,44.0,44.5,44.8
Febrero,46.4,45.4,47.2,46.7,46.1,46.3,48.6,49.8,46.7,45.4,43.7,42.3,41.8,40.8,40.3,39.8,40.4,41.3,40.0,40.5,39.8,40.8,44.3,44.2,44.5
Marzo,46.9,45.0,46.5,47.0,47.1,47.1,49.2,49.2,46.3,44.5,43.6,42.3,41.5,40.3,40.1,40.2,40.2,40.6,40.1,40.4,,41.8,44.1,43.7,44.4
Abril,46.0,45.0,46.3,47.5,46.7,46.6,49.6,48.4,46.1,45.1,43.9,42.1,41.0,39.9,39.6,39.4,40.3,40.4,40.4,40.8,,42.3,43.7,43.1,43.9
Mayo,47.5,45.4,46.3,47.8,46.5,47.9,49.3,48.0,46.6,45.0,43.5,41.9,41.4,40.1,39.5,39.1,40.4,39.8,40.5,41.3,39.6,42.7,43.3,42.7,44.0
Junio,46.6,45.5,46.9,47.7,47.0,49.0,49.2,47.8,46.6,44.5,43.6,42.2,41.5,40.4,39.4,39.4,39.6,39.3,41.0,42.2,41.6,42.1,42.6,42.6,43.9
