Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,1375077.915,1713202.095,1992955.842,1440052.844,1151020.818,1881758.162,1743950.002,1089810.669,1732366.933,328270.129,1563107.544,718846.303,1779873.977,2171423.293,2213333.838,2000486.374,381895.78,2377963.365,700608.827,593048.314,1340110.634,1310165.666
Agosto,2193740.691,1421018.561,1389533.725,1102827.596,822041.535,1752366.758,1517776.17,1844966.97,1731848.034,545124.12,881266.456,1737940.962,2201505.388,1062808.928,746892.17,2141913.379,1700690.948,1557755.489,1403572.265,394618.057,983742.049,2191250.267
Septiembre,2020045.172,1472234.22,1236820.033,1563296.161,1290556.494,1034926.736,1651527.24,1671257.535,1461165.709,1412467.737,1475396.565,1384096.952,1117893.937,2899450.09,1041058.019,1039865.152,872206.515,79850.76,1234429.128,331889.572,-481690.193,1364713.948
Octubre,1903942.473,1694342.285,2020324.169,1118437.338,934054.184,1311892.31,1987220.227,2099796.695,1840495.682,1200616.908,999938.153,1079094.594,2647741.876,3187531.152,2807424.297,3744052.5,206845.098,990833.42,1759160.461,997427.947,512474.689,1415804.341
Noviembre,2120663.235,1231996.146,1182331.134,898144.574,-187426.14,1171875.744,1222052.858,1199792.132,3075858.874,970688.391,405347.763,1250457.558,1841439.459,2562860.569,2203793.221,136761.038,1064320.525,1267190.052,716525.595,1508955.787,1791687.76,999438.082
Diciembre,2152372.01,1897251.825,2235589.296,1380043.471,1550186.957,1303633.821,1687073.911,1345730.905,5213856.237,750511.567,948930.336,977070.239,2056999.861,2000930.051,2832418.326,9080.002,485389.187,2157343.672,1979758.437,1664780.588,609267.012,443481.262
Enero,1246596.151,677460.827,1770696.988,1156383.053,1250349.567,1322987.885,1365021.575,2323158.264,426578.559,1185665.464,1185577.539,1770047.757,2697602.28,2529734.477,2091772.157,795980.709,632741.437,-526244.91,-160782.624,-527170.501,-301101.765,-111745.854
Febrero,1074854.486,954754.546,1007294.681,1854874.632,2209304.946,2303863.501,1936542.906,1502088.011,741154.189,1008288.746,1490510.232,2290847.04,3194309.947,3129780.575,3045547.191,877501.728,2025733.734,2031199.552,1040645.186,2024943.021,1112099.247,838063.904
Marzo,1274502.815,1211101.24,1455901.873,1463947.788,1474399.364,1541526.475,1842253.704,2171740.173,1287174.436,749239.343,1728519.809,1948569.546,2782496.812,2412920.634,2268570.675,945902.077,1308546.539,1944853.308,830595.259,98231.122,443004.933,937449.37
Abril,1651091.898,1280452.947,1337995.853,2138531.588,1215042.541,1977191.614,1201047.583,1676879.715,399322.537,821644.175,1707252.948,2394266.244,1576964.452,2086017.93,1787275.471,865903.033,1606380.834,1948790.888,1520282.057,2675.677,-14930.54,1125506.018
Mayo,2281717.439,1239920.445,737635.777,1947025.021,1353370.341,1704862.55,2510840.238,1299929.653,652090.978,1331230.781,2102117.195,1886219.5,2733003.602,1388231.052,2645627.636,890147.144,1928519.598,2454168.658,1377725.734,-593551.018,625836.446,593163.677
Junio,2130952.283,1388882.652,1270936.92,1425596.908,1682128.518,1718422,1490272.556,2064038.706,1053913.607,1471644.826,2772597.714,2291297.615,1740445.033,2992050.063,1469837.552,592316.557,2069538.848,1440736.339,456372.763,1068659.523,599570.218,
