Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$4,013,061","$4,722,033","$5,078,748","$4,450,740","$4,609,175","$5,332,754","$5,342,888","$4,815,498","$5,090,795","$4,202,705","$5,080,063","$4,429,440","$5,150,062","$5,720,803","$5,490,062","$5,304,873","$4,899,309","$6,401,602","$4,361,793","$4,546,791","$5,510,641","$5,639,978"
Agosto,"$4,837,608","$4,508,280","$4,514,946","$4,325,169","$4,760,913","$5,307,723","$5,211,140","$5,040,192","$5,063,927","$4,668,500","$4,769,644","$5,346,633","$6,044,424","$4,960,102","$5,421,295","$5,806,917","$6,607,250","$5,483,657","$5,216,977","$4,642,181","$5,392,225","$6,987,375"
Septiembre,"$4,685,479","$4,886,703","$3,942,230","$5,218,402","$5,139,726","$4,539,895","$4,995,645","$4,982,987","$5,244,950","$5,167,016","$5,034,547","$4,891,256","$5,306,959","$6,375,261","$5,698,721","$3,061,478","$4,838,773","$4,274,255","$4,665,485","$4,206,068","$3,976,152","$6,568,652"
Octubre,"$4,909,109","$5,062,681","$5,192,979","$4,852,946","$4,472,823","$5,721,693","$5,901,028","$5,887,194","$5,465,780","$5,365,877","$5,093,892","$5,122,551","$6,463,687","$6,804,421","$6,569,897","$6,416,719","$5,514,938","$5,061,484","$5,359,825","$5,067,069","$4,811,898","$6,050,010"
Noviembre,"$4,817,862","$4,207,425","$4,337,837","$4,772,028","$4,026,028","$5,266,096","$4,382,805","$4,381,589","$6,740,404","$4,676,572","$4,753,277","$4,627,985","$5,094,436","$6,059,310","$5,768,515","$3,884,048","$4,928,089","$5,350,663","$4,366,368","$5,441,076","$6,593,477","$4,965,921"
Diciembre,"$4,548,418","$5,143,239","$5,457,189","$5,355,507","$5,251,095","$4,638,547","$4,820,191","$4,456,756","$8,368,593","$4,553,995","$4,354,782","$4,257,338","$5,321,667","$4,900,129","$6,484,234","$4,368,406","$4,280,686","$5,455,361","$5,593,606","$5,667,130","$5,071,042","$4,796,003"
Enero,"$3,990,695","$3,271,887","$4,604,864","$4,615,834","$4,865,800","$5,111,848","$4,437,119","$5,273,302","$3,761,059","$4,608,703","$5,050,338","$5,086,580","$5,945,182","$5,872,564","$5,473,850","$5,216,627","$4,859,784","$3,491,616","$3,049,186","$3,449,850","$4,594,422","$4,358,713"
Febrero,"$3,953,097","$4,227,813","$4,424,616","$4,920,761","$5,534,419","$6,130,334","$5,022,676","$4,669,130","$4,538,604","$4,592,392","$4,919,550","$5,459,139","$6,697,598","$6,530,933","$6,492,870","$4,913,826","$5,417,963","$5,662,622","$4,384,435","$5,779,993","$6,057,408","$5,099,163"
Marzo,"$4,254,840","$5,226,687","$4,972,552","$5,668,780","$5,729,899","$5,300,415","$5,449,792","$5,730,844","$5,277,936","$5,068,427","$5,453,259","$5,415,153","$6,283,925","$6,319,311","$6,287,277","$5,186,210","$5,469,651","$5,828,384","$5,254,575","$5,458,777","$5,736,834","$5,267,143"
Abril,"$4,657,907","$4,882,782","$4,841,697","$4,914,039","$4,963,556","$5,658,800","$4,721,547","$5,171,690","$4,884,270","$4,655,114","$5,703,169","$5,830,800","$5,462,154","$5,724,279","$5,491,576","$5,311,574","$5,330,098","$4,922,278","$5,489,440","$5,074,215","$4,860,077","$5,497,433"
Mayo,"$5,306,702","$4,392,997","$4,265,017","$5,514,694","$5,074,596","$5,427,217","$5,661,860","$4,914,966","$4,747,583","$5,488,531","$5,951,215","$5,633,267","$6,427,112","$5,645,465","$6,603,662","$5,804,681","$5,960,858","$5,243,737","$5,287,029","$4,527,548","$5,529,044","$5,511,192"
Junio,"$5,200,475","$4,547,680","$4,910,500","$5,509,764","$5,582,790","$5,518,262","$4,859,927","$5,775,570","$5,094,142","$5,303,801","$6,197,609","$6,209,049","$5,265,899","$6,827,455","$5,309,618","$5,252,938","$5,577,013","$5,061,729","$4,881,502","$5,853,822","$5,446,024",
