Meses,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Julio,"$2,637,983","$3,008,831","$3,085,792","$3,010,687","$3,458,155","$3,450,996","$3,598,938","$3,725,687","$3,358,428","$3,874,435","$3,516,955","$3,710,594","$3,370,188","$3,549,380","$3,276,728","$3,304,387","$4,517,414","$4,023,639","$3,661,184","$3,953,742","$4,170,530","$4,329,812"
Agosto,"$2,643,868","$3,087,261","$3,125,412","$3,222,341","$3,938,871","$3,555,357","$3,693,364","$3,195,225","$3,332,079","$4,123,376","$3,888,377","$3,608,692","$3,842,918","$3,897,293","$4,674,403","$3,665,004","$4,906,559","$3,925,902","$3,813,405","$4,247,562","$4,408,483","$4,796,124"
Septiembre,"$2,665,434","$3,414,469","$2,705,410","$3,655,106","$3,849,169","$3,504,969","$3,344,118","$3,311,730","$3,783,785","$3,754,548","$3,559,150","$3,507,159","$4,189,065","$3,475,811","$4,657,663","$2,021,612","$3,966,567","$4,194,404","$3,431,056","$3,874,179","$4,457,842","$5,203,938"
Octubre,"$3,005,166","$3,368,338","$3,172,655","$3,734,509","$3,538,769","$4,409,801","$3,913,808","$3,787,397","$3,625,285","$4,165,260","$4,093,953","$4,043,456","$3,815,945","$3,616,890","$3,762,472","$2,672,667","$5,308,093","$4,070,651","$3,600,664","$4,069,641","$4,299,424","$4,634,206"
Noviembre,"$2,697,199","$2,975,429","$3,155,505","$3,873,883","$4,213,454","$4,094,220","$3,160,752","$3,181,796","$3,664,545","$3,705,884","$4,347,929","$3,377,528","$3,252,997","$3,496,450","$3,564,722","$3,747,287","$3,863,768","$4,083,473","$3,649,842","$3,932,120","$4,801,789","$3,966,483"
Diciembre,"$2,396,046","$3,245,987","$3,221,600","$3,975,464","$3,700,908","$3,334,913","$3,133,117","$3,111,025","$3,154,737","$3,803,484","$3,405,852","$3,280,268","$3,264,667","$2,899,199","$3,651,816","$4,359,326","$3,795,296","$3,298,017","$3,613,848","$4,002,349","$4,461,775","$4,352,522"
Enero,"$2,744,099","$2,594,426","$2,834,167","$3,459,451","$3,615,451","$3,788,860","$3,072,098","$2,950,143","$3,334,480","$3,423,038","$3,864,761","$3,316,532","$3,247,579","$3,342,829","$3,382,078","$4,420,646","$4,227,043","$4,017,861","$3,209,969","$3,977,021","$4,895,523","$4,470,459"
Febrero,"$2,878,242","$3,273,058","$3,417,322","$3,065,886","$3,325,114","$3,826,470","$3,086,133","$3,167,042","$3,797,450","$3,584,103","$3,429,040","$3,168,292","$3,503,288","$3,401,152","$3,447,322","$4,036,324","$3,392,229","$3,631,422","$3,343,790","$3,755,050","$4,945,309","$4,261,099"
Marzo,"$2,980,337","$4,015,586","$3,516,650","$4,204,833","$4,255,500","$3,758,889","$3,607,538","$3,559,104","$3,990,762","$4,319,188","$3,724,739","$3,466,583","$3,501,428","$3,906,391","$4,018,707","$4,240,308","$4,161,104","$3,883,530","$4,423,979","$5,360,545","$5,293,829","$4,329,693"
Abril,"$3,006,815","$3,602,329","$3,503,701","$2,775,508","$3,748,513","$3,681,609","$3,520,499","$3,494,810","$4,484,948","$3,833,469","$3,995,916","$3,436,533","$3,885,190","$3,638,261","$3,704,300","$4,445,671","$3,723,717","$2,973,487","$3,969,158","$5,071,539","$4,875,008","$4,371,927"
Mayo,"$3,024,985","$3,153,077","$3,527,382","$3,567,669","$3,721,225","$3,722,355","$3,151,020","$3,615,036","$4,095,492","$4,157,300","$3,849,098","$3,747,047","$3,694,109","$4,257,234","$3,958,034","$4,914,534","$4,032,338","$2,789,569","$3,909,303","$5,121,099","$4,903,207","$4,918,028"
Junio,"$3,069,523","$3,158,798","$3,639,563","$4,084,167","$3,900,662","$3,799,840","$3,369,655","$3,711,531","$4,040,228","$3,832,156","$3,425,012","$3,917,751","$3,525,454","$3,835,405","$3,839,781","$4,660,621","$3,507,474","$3,620,992","$4,425,130","$4,785,163","$4,846,454",
